No data from PTF
 
2456385.96767 R 19.2942 0.126
2456385.99903 R 19.673 0.1479
2456386.75044 R 19.1741 0.1011
2456386.78285 R 19.191 0.0533
2456386.78285 R 19.0896 0.0789
2456386.81435 R 19.1911 0.0642
2456387.94392 R 19.2858 0.0674
2456387.97341 R 19.3148 0.0536
2456387.97341 R 19.317 0.0786
2456388.00263 R 19.3115 0.0716
2456388.99274 R 19.0221 0.0631
2456389.02273 R 19.2733 0.0837
2456389.95479 R 19.2179 0.064
2456389.98466 R 19.1639 0.0787
2456390.0145 R 19.0083 0.0904
2456392.74002 R 18.9979 0.0637
2456392.77013 R 18.8851 0.0481
2456392.77013 R 18.8898 0.066
2456392.79975 R 18.7898 0.0672
2456393.71529 R 18.9645 0.0595
2456393.74524 R 18.8973 0.0395
2456393.74524 R 18.8922 0.0595
2456393.77683 R 18.8311 0.0486
2456394.85029 R 18.7241 0.0479
2456395.69619 R 18.8108 0.0732
2456395.72618 R 18.8875 0.0599
2456396.92071 R 18.9331 0.0554
2456396.95039 R 18.786 0.0538
2456399.92286 R 18.9458 0.0526
2456399.95278 R 18.8872 0.0522
2456399.95278 R 18.9111 0.0418
2456399.98277 R 18.7207 0.0572
2456400.9314 R 18.8512 0.0781
2456400.96082 R 18.9111 0.0632
2456400.99078 R 19.0834 0.0686
2456401.938 R 18.9993 0.0677
2456401.96734 R 18.9204 0.0591
2456401.96734 R 18.9827 0.0455
2456401.99671 R 18.7832 0.0739
2456402.93539 R 19.0126 0.0771
2456402.96471 R 19.0121 0.0659
2456402.99465 R 18.8212 0.0651
2456403.93806 R 18.9365 0.0491
2456403.96789 R 18.9774 0.04
2456403.96789 R 18.926 0.048
2456403.9978 R 19.0498 0.0583
2456404.9374 R 18.9724 0.065
2456404.96674 R 19.0511 0.0434
2456404.96674 R 19.116 0.0519
2456404.99646 R 19.0249 0.053
2456412.86035 R 19.343 0.0836
2456412.88998 R 19.0794 0.0652
2456412.88998 R 19.2466 0.1096
2456412.91976 R 18.921 0.103
2456413.84594 R 19.3368 0.0733
2456413.87569 R 19.3524 0.0949
2456413.87569 R 19.1675 0.0631
2456413.90539 R 18.8383 0.0931
2456415.69532 R 19.1546 0.1138
2456415.90677 R 19.1254 0.1072
2456415.93725 R 19.6106 0.1596
2456416.83921 R 19.2624 0.08
2456416.87362 R 19.402 0.0651
2456416.87362 R 19.4214 0.0571
2456416.9034 R 19.4574 0.074
2456417.80546 R 19.4835 0.088
2456417.88318 R 19.389 0.0635
2456417.88318 R 19.2568 0.0969
2456417.91307 R 19.4679 0.0798
2456422.86966 R 19.574 0.0804
2456422.91201 R 19.5062 0.0648
2456422.91201 R 19.4838 0.0866
2456422.94163 R 19.5455 0.1071
2456423.843 R 19.8944 0.0907
2456423.87505 R 19.9743 0.1147
2456423.9051 R 19.8116 0.1511
2456424.80747 R 19.4872 0.0754
2456424.88106 R 19.7365 0.0916
2456424.88106 R 19.6448 0.0634
2456424.91038 R 19.7953 0.0965
2456425.81257 R 19.7414 0.097
2456425.87639 R 19.731 0.104
2456425.87639 R 19.5931 0.0788
2456425.90645 R 19.6916 0.1047
2456426.80861 R 20.0598 0.1189
2456426.89039 R 19.5478 0.0932
2456426.89039 R 20.023 0.0883
2456426.92029 R 20.1812 0.133
2456427.82196 R 19.7115 0.1206
2456427.88928 R 20.056 0.118
2456427.88928 R 20.0164 0.1069
2456427.91918 R 20.2092 0.1478
2456428.82059 R 19.528 0.1227
2456428.88828 R 19.8122 0.1568
2456429.677 R 20.0107 0.1294
2456431.87828 R 19.5575 0.1459
2456431.9125 R 19.8759 0.1493
2456431.9125 R 19.9383 0.1162
2456431.94617 R 20.3651 0.1417
2456432.84833 R 20.2813 0.1429
2456432.87837 R 19.9982 0.1146
2456432.87837 R 20.2001 0.1428
2456432.91315 R 19.4621 0.1474
2456433.81552 R 20.3431 0.1629
2456433.88057 R 20.0457 0.1436
2456433.91064 R 19.9631 0.1883
2456434.81236 R 20.0587 0.2153
2456434.86589 R 20.2323 0.1549
2456434.86589 R 20.1727 0.1247
2456434.89613 R 19.8063 0.2043
