No data from PTF
 
2456389.95983 R 20.5807 0.1831
2456389.98924 R 20.9128 0.1528
2456392.92775 R 19.8732 0.1169
2456392.95764 R 19.6957 0.1312
2456393.73683 R 19.6752 0.1118
2456394.85373 R 19.5486 0.071
2456395.73164 R 19.3748 0.0647
2456395.76166 R 19.398 0.0611
2456396.92708 R 19.0164 0.0563
2456396.95625 R 19.2668 0.0628
2456399.92625 R 18.6803 0.0355
2456399.95617 R 18.6196 0.0311
2456399.95617 R 18.6525 0.0339
2456399.98615 R 18.624 0.0423
2456400.93487 R 18.5057 0.0376
2456400.96431 R 18.5342 0.0446
2456400.99425 R 18.661 0.043
2456401.94978 R 18.5065 0.0318
2456401.97895 R 18.5281 0.0351
2456401.97895 R 18.5071 0.0299
2456402.00817 R 18.569 0.0531
2456402.94343 R 18.3821 0.0385
2456402.97345 R 18.4746 0.0513
2456403.00304 R 18.363 0.0451
2456403.94147 R 18.4467 0.0275
2456403.9713 R 18.4424 0.0279
2456403.9713 R 18.4326 0.025
2456404.00123 R 18.4682 0.0339
2456404.93971 R 18.4194 0.0383
2456404.969 R 18.4821 0.0268
2456404.969 R 18.4356 0.0253
2456404.99874 R 18.4197 0.0285
2456405.95068 R 18.3705 0.06
2456405.98013 R 18.4117 0.0347
2456412.92778 R 18.4528 0.0421
2456412.95697 R 18.5446 0.051
2456412.95697 R 18.5063 0.0337
2456412.98652 R 18.4839 0.0578
2456413.92425 R 18.5007 0.0411
2456413.9536 R 18.5032 0.043
2456413.9536 R 18.5113 0.0308
2456413.98293 R 18.5306 0.0455
2456415.70394 R 18.6632 0.0662
2456415.90789 R 18.5825 0.0464
2456415.93837 R 18.6363 0.0446
2456416.84036 R 18.5853 0.0402
2456416.9011 R 18.5856 0.0303
2456416.9011 R 18.6112 0.0293
2456416.93082 R 18.6177 0.0355
2456417.83284 R 18.7211 0.0339
2456417.88433 R 18.7313 0.0299
2456417.88433 R 18.6771 0.0357
2456417.91421 R 18.7324 0.0382
2456422.87304 R 19.0182 0.0436
2456422.91315 R 19.1049 0.0474
2456422.91315 R 19.1038 0.038
2456422.94277 R 19.1168 0.0504
2456423.84416 R 19.0718 0.0438
2456423.8785 R 19.0278 0.0462
2456423.90826 R 19.0934 0.0489
2456424.80999 R 19.0667 0.0444
2456424.8822 R 19.1338 0.0445
2456424.8822 R 19.1277 0.0378
2456424.91152 R 19.1457 0.0485
2456425.81373 R 19.2418 0.0517
2456425.87752 R 19.1835 0.0505
2456425.87752 R 19.2115 0.0405
2456425.90757 R 19.1743 0.0505
2456426.80975 R 19.213 0.0522
2456426.89303 R 19.1946 0.0523
2456426.89303 R 19.1926 0.0424
2456426.92325 R 19.176 0.058
2456427.8255 R 19.0954 0.0577
2456427.8919 R 19.199 0.044
2456427.8919 R 19.2214 0.0557
2456427.92184 R 19.2653 0.0624
2456428.82308 R 19.3204 0.0528
2456429.68043 R 19.212 0.0808
2456431.88169 R 19.2625 0.054
2456431.91365 R 19.207 0.0484
2456431.91365 R 19.2845 0.0427
2456431.94733 R 19.2475 0.0551
2456432.84948 R 19.0826 0.0827
2456432.87954 R 19.0147 0.0686
2456432.87954 R 19.1533 0.0488
2456432.91429 R 19.1755 0.0647
2456433.81666 R 18.9834 0.1121
2456433.8817 R 18.8998 0.09
2456433.8817 R 19.0427 0.0577
2456433.91177 R 19.1714 0.0832
2456434.8135 R 19.3906 0.0965
2456434.86962 R 19.3804 0.1008
2456434.86962 R 19.2313 0.0788
2456434.90007 R 18.9869 0.1048
