No data from PTF
 
2456394.85884 R 18.0161 0.0351
2456395.64719 R 17.817 0.0306
2456395.67699 R 17.8064 0.0261
2456396.65367 R 17.8246 0.0278
2456396.68345 R 17.8541 0.0212
2456396.68345 R 17.7723 0.0303
2456396.71976 R 17.8825 0.0266
2456400.65001 R 17.6152 0.0306
2456400.67946 R 17.7608 0.0284
2456400.70852 R 17.9091 0.0254
2456401.65083 R 17.6597 0.0328
2456401.68044 R 17.9044 0.0236
2456401.68044 R 17.9247 0.0287
2456401.70978 R 17.8098 0.0343
2456402.65147 R 17.6636 0.0374
2456402.68045 R 17.837 0.0313
2456402.70991 R 17.8058 0.03
2456403.64964 R 17.5752 0.0341
2456403.67889 R 17.8357 0.0329
2456403.67889 R 17.7446 0.0283
2456403.7085 R 17.8524 0.0414
2456404.65201 R 17.797 0.0439
2456404.68565 R 18.0291 0.042
2456404.71625 R 17.755 0.0388
2456405.73781 R 17.7823 0.0612
2456405.78118 R 17.914 0.0451
2456405.78118 R 17.7194 0.0365
2456405.81061 R 17.7996 0.0567
2456413.75287 R 18.4238 0.0461
2456413.78235 R 18.5169 0.0497
2456413.78235 R 18.5281 0.0321
2456413.8117 R 18.5474 0.0495
2456415.70145 R 18.1279 0.0688
2456416.69394 R 18.8592 0.167
2456416.87603 R 18.7191 0.0456
2456417.67929 R 18.7019 0.0643
2456423.66696 R 18.512 0.0729
2456423.81951 R 18.8885 0.0661
2456424.7259 R 19.0664 0.0721
2456425.6831 R 19.0336 0.0763
2456426.69709 R 19.2178 0.0814
2456426.89167 R 18.7844 0.1281
2456427.68214 R 19.0071 0.0904
2456427.89056 R 19.0869 0.1192
2456428.72126 R 19.5557 0.0769
2456429.68514 R 19.1427 0.1783
2456432.70535 R 18.9508 0.1249
2456432.74498 R 19.2669 0.1274
2456432.74498 R 19.3466 0.0877
2456432.77413 R 19.0988 0.1333
2456433.68862 R 18.7582 0.1411
2456433.74633 R 19.3868 0.1281
2456433.74633 R 18.8545 0.1095
2456433.77661 R 19.0772 0.142
2456434.69133 R 18.6149 0.126
2456434.75366 R 19.1424 0.1174
2456434.75366 R 19.3625 0.1496
2456434.86828 R 19.2412 0.2012
