No data from PTF
 
2456412.83824 R 18.8337 0.0639
2456412.8675 R 18.8932 0.0724
2456412.8675 R 18.869 0.0468
2456412.91013 R 18.8579 0.0723
2456414.72378 R 18.7547 0.0457
2456414.75294 R 18.6771 0.0446
2456414.75294 R 18.6939 0.0315
2456414.78244 R 18.6185 0.0357
2456415.744 R 18.4508 0.0485
2456416.71166 R 18.5071 0.0409
2456416.91189 R 18.5133 0.0303
2456417.71154 R 18.4917 0.0359
2456417.8952 R 18.4082 0.0266
2456417.8952 R 18.4416 0.0338
2456417.92537 R 18.4209 0.0393
2456423.73161 R 18.4323 0.0301
2456424.69108 R 18.3969 0.0304
2456424.89175 R 18.4958 0.0317
2456425.7039 R 18.379 0.0305
2456426.67394 R 18.4084 0.0429
2456426.92593 R 18.4215 0.0378
2456427.70344 R 18.5538 0.037
2456427.90273 R 18.5347 0.0358
2456427.93271 R 18.5862 0.0515
2456428.83436 R 18.5591 0.034
2456429.78278 R 18.6303 0.0479
2456431.85356 R 18.9055 0.0574
2456432.68647 R 18.5873 0.0513
2456432.78593 R 18.7384 0.0401
2456432.78593 R 18.7244 0.0597
2456432.81637 R 18.8458 0.0577
2456433.71866 R 18.8674 0.0816
2456433.77402 R 18.9343 0.0583
2456433.77402 R 18.6891 0.1015
2456433.88662 R 18.9765 0.0827
2456442.72877 R 19.0382 0.067
2456442.78578 R 19.3127 0.0528
2456443.70655 R 19.2459 0.0617
2456443.83331 R 19.2529 0.0537
2456444.73469 R 19.2835 0.0637
2456444.82604 R 19.2917 0.0656
2456445.72826 R 19.2474 0.0585
2456445.8241 R 19.2755 0.0497
2456446.72576 R 19.3938 0.0751
2456446.80477 R 19.3044 0.0538
2456447.75485 R 19.3554 0.0513
2456447.80892 R 19.3216 0.0508
2456448.75074 R 19.4043 0.0564
2456448.80795 R 19.4224 0.0647
2456449.73961 R 19.3125 0.051
2456449.79417 R 19.5509 0.0635
2456450.69676 R 19.3191 0.0592
2456450.80157 R 19.3102 0.0532
2456451.74051 R 19.3614 0.053
2456451.79494 R 19.3503 0.0568
2456452.73953 R 19.3917 0.0549
2456452.79826 R 19.3486 0.0545
2456453.74112 R 19.4309 0.0639
2456453.79556 R 19.6389 0.0744
2456454.74061 R 19.458 0.0809
2456454.79486 R 19.3636 0.0784
2456455.73595 R 19.4766 0.0617
2456455.81954 R 19.5731 0.066
2456456.74154 R 19.6042 0.0642
2456456.80095 R 19.634 0.0672
2456457.7387 R 19.5911 0.0867
2456457.78972 R 19.5606 0.0663
2456458.73973 R 19.6913 0.0759
2456458.78976 R 19.4604 0.067
2456459.73649 R 19.6256 0.1182
2456459.79234 R 19.6023 0.0927
2456460.73916 R 19.7857 0.0993
2456460.78929 R 19.7538 0.1082
2456461.72624 R 19.5565 0.1165
2456461.77257 R 19.8429 0.1476
