No data from PTF
 
2456400.86955 R 21.2353 0.2138
2456400.86955 R 21.0288 0.1458
2456412.6559 R 20.3103 0.1969
2456412.68535 R 20.7276 0.1451
2456412.68535 R 20.4624 0.1493
2456413.6564 R 20.4777 0.208
2456413.68553 R 20.816 0.1489
2456413.68553 R 20.6009 0.1116
2456413.71461 R 20.9352 0.1643
2456414.80503 R 21.1658 0.1846
2456414.83396 R 20.7313 0.1778
2456414.83396 R 20.8398 0.1286
2456415.77206 R 20.6707 0.1427
2456415.83934 R 20.4718 0.1904
2456416.77162 R 20.6544 0.14
2456416.81064 R 20.3789 0.1367
2456417.74598 R 20.9377 0.2013
2456417.80304 R 20.4773 0.1721
2456417.80304 R 20.6904 0.1152
2456417.83525 R 20.6633 0.1411
2456423.69645 R 20.4164 0.1358
2456423.76159 R 20.6578 0.1651
2456423.76159 R 20.6152 0.1142
2456423.79067 R 20.624 0.147
2456424.69791 R 20.7695 0.1827
2456424.75279 R 20.76 0.118
2456424.75279 R 20.6372 0.1364
2456424.80366 R 20.7316 0.154
2456425.74824 R 20.5369 0.1316
2456425.74824 R 20.6156 0.1078
2456425.80193 R 20.6094 0.1362
2456426.78648 R 20.3912 0.1626
2456426.78648 R 20.7328 0.1662
2456426.82414 R 20.6599 0.1568
2456427.80293 R 20.7667 0.1261
2456427.80293 R 20.6938 0.1697
2456427.83243 R 20.5699 0.1571
2456428.80591 R 20.9787 0.167
2456429.81056 R 20.5684 0.1376
2456434.77885 R 20.4033 0.2107
