No data from PTF
 
2456424.90233 R 21.3931 0.1952
2456426.94145 R 20.5869 0.1785
2456427.70118 R 20.2682 0.198
2456427.91331 R 20.2038 0.1627
2456427.91331 R 20.572 0.1581
2456428.84539 R 19.9472 0.1388
2456431.85243 R 19.561 0.1109
2456431.95674 R 19.5098 0.1241
2456432.6853 R 19.5991 0.1379
2456432.8 R 19.5981 0.0768
2456432.8 R 19.5622 0.1425
2456432.92638 R 19.4035 0.0904
2456433.82791 R 19.4421 0.1138
2456433.90211 R 19.4811 0.1339
2456433.90211 R 19.478 0.0722
2456433.93414 R 19.393 0.0867
2456434.83559 R 19.431 0.1305
2456434.8986 R 19.4771 0.0964
2456434.8986 R 19.3812 0.1325
2456434.93016 R 19.4608 0.1251
2456440.71454 R 18.978 0.0621
2456440.79789 R 18.9581 0.0769
2456441.83524 R 18.9807 0.0894
2456441.86986 R 19.0773 0.0838
2456442.77198 R 19.038 0.0527
2456442.81609 R 18.918 0.051
2456443.71859 R 18.9602 0.0473
2456443.85132 R 19.0623 0.058
2456444.75339 R 19.1967 0.0555
2456444.83852 R 18.929 0.0732
2456445.74025 R 18.9098 0.0558
2456445.83231 R 19.1305 0.0513
2456446.7344 R 19.0768 0.0497
2456446.81426 R 18.9568 0.0471
2456447.75373 R 19.0896 0.0466
2456447.81712 R 19.1057 0.0463
2456448.74961 R 19.1947 0.0525
2456448.81852 R 19.2766 0.064
2456449.73848 R 19.2008 0.0525
2456449.80365 R 19.2789 0.0578
2456450.74264 R 19.2781 0.064
2456450.80978 R 19.2792 0.0586
2456451.73937 R 19.4579 0.0647
2456451.80314 R 19.3029 0.0672
2456452.73839 R 19.411 0.0624
2456452.80905 R 19.371 0.0596
2456453.73999 R 19.5067 0.0824
2456453.80382 R 19.5239 0.0754
2456454.73949 R 19.5758 0.0953
2456454.80308 R 19.5039 0.0876
2456455.73483 R 19.5274 0.0709
2456455.8255 R 19.6722 0.078
2456456.74042 R 19.6858 0.0744
2456456.80807 R 19.6521 0.0929
2456457.73758 R 19.3349 0.0972
2456457.79683 R 19.7157 0.0889
2456458.7386 R 19.8496 0.087
2456458.79691 R 19.655 0.0818
2456459.73534 R 19.6058 0.0926
2456459.79946 R 19.9257 0.1106
2456460.73802 R 19.6811 0.1145
2456460.79528 R 19.8613 0.1274
2456461.72512 R 19.6716 0.1498
2456461.77751 R 19.894 0.1658
