No data from PTF
 
2456444.72223 R 19.9917 0.1304
2456444.8177 R 20.6372 0.1876
2456445.72387 R 19.9242 0.1113
2456445.81939 R 19.7203 0.1553
2456446.73163 R 20.0347 0.0993
2456446.80008 R 19.9268 0.1023
2456447.7076 R 19.9982 0.1027
2456447.80424 R 19.9458 0.1254
2456448.70712 R 19.6885 0.1221
2456448.80325 R 19.8975 0.1091
2456449.72426 R 19.9494 0.1086
2456449.78948 R 19.9971 0.141
2456450.71074 R 19.9974 0.1407
2456450.79688 R 19.8814 0.1223
2456451.69907 R 20.1599 0.1146
2456451.79027 R 19.905 0.122
2456452.69734 R 20.0502 0.1437
2456452.79358 R 20.0752 0.1052
2456453.6975 R 20.0596 0.1217
2456453.79087 R 20.0356 0.1248
2456454.69813 R 19.8708 0.1213
2456454.79016 R 20.2025 0.2042
2456455.71047 R 20.0849 0.1385
2456456.6941 R 20.069 0.1031
2456456.79627 R 19.8704 0.1449
2456457.71515 R 20.0192 0.1209
2456457.78505 R 20.2328 0.1709
2456458.69016 R 20.0069 0.1793
2456458.78507 R 20.3884 0.1404
2456459.78767 R 19.9442 0.188
