No data from PTF
 
2456503.79875 R 20.2907 0.1199
2456503.83861 R 20.2308 0.091
2456503.83861 R 20.1404 0.1147
2456503.87572 R 20.2396 0.1153
2456504.84244 R 20.4032 0.1212
2456504.84244 R 20.4207 0.107
2456504.87883 R 20.4649 0.1204
2456505.79316 R 20.3421 0.1684
2456505.84822 R 20.6886 0.1325
2456505.88493 R 20.4694 0.1379
2456506.78616 R 20.337 0.1126
2456506.88159 R 20.1951 0.1119
2456506.88159 R 20.3909 0.0882
2456506.92697 R 20.5033 0.1076
2456507.82819 R 20.6119 0.1329
2456507.91539 R 20.3379 0.1044
2456507.91539 R 20.6202 0.0951
2456507.95194 R 20.5793 0.1135
2456508.85362 R 20.512 0.1191
2456508.92899 R 20.6256 0.1168
2456508.92899 R 20.637 0.092
2456508.96589 R 20.6191 0.1177
2456509.86816 R 20.4832 0.1028
2456509.92594 R 20.7244 0.136
2456509.92594 R 20.5615 0.0908
2456509.96241 R 20.4175 0.1051
2456510.86421 R 20.4554 0.1063
2456510.91891 R 20.7214 0.1043
2456510.91891 R 20.6786 0.1182
2456510.95697 R 20.6372 0.1125
2456511.85836 R 20.6447 0.1293
2456511.92549 R 20.5325 0.1046
2456511.92549 R 20.6932 0.1317
2456512.86544 R 20.8687 0.1512
2456512.92022 R 20.7088 0.1048
2456512.92022 R 20.7273 0.1415
2456512.95688 R 20.6989 0.1298
2456513.85853 R 20.8528 0.1405
2456513.91956 R 20.5346 0.1015
2456513.91956 R 20.6255 0.0917
2456513.9574 R 20.4092 0.1035
2456514.85918 R 20.5104 0.1199
2456514.91778 R 20.6009 0.0938
2456514.91778 R 20.548 0.1425
2456514.95409 R 20.489 0.1153
2456515.8556 R 20.562 0.129
2456515.91201 R 20.6106 0.1218
2456515.91201 R 20.6548 0.1026
2456515.9487 R 20.8416 0.1578
2456516.85001 R 20.5926 0.105
2456516.90794 R 20.8545 0.1306
2456516.90794 R 20.7423 0.0977
2456516.94556 R 20.7888 0.1386
2456517.8473 R 20.7301 0.1281
2456517.8986 R 20.8719 0.1697
2456517.8986 R 20.8869 0.116
2456517.93497 R 20.7456 0.1286
2456518.83804 R 20.9547 0.1526
2456518.89442 R 20.5136 0.123
2456518.89442 R 20.8439 0.113
2456518.93112 R 20.6552 0.1177
2456519.83311 R 20.7171 0.1319
2456519.88598 R 20.8465 0.1183
2456519.88598 R 20.7913 0.1292
2456519.92264 R 20.7743 0.1482
2456520.824 R 20.6478 0.1626
2456520.8673 R 20.7411 0.135
2456520.8673 R 20.6009 0.1076
2456520.91771 R 20.7309 0.138
2456521.85618 R 21.0484 0.1633
2456521.91609 R 21.0707 0.1601
