No data from PTF
 
2456503.80376 R 18.9644 0.0543
2456503.84564 R 18.8734 0.0419
2456503.84564 R 18.8981 0.0602
2456503.88281 R 18.7846 0.0541
2456504.80124 R 19.1413 0.089
2456504.84356 R 18.9435 0.0764
2456504.84356 R 19.026 0.0475
2456504.87998 R 18.9627 0.0536
2456505.79753 R 19.0191 0.0633
2456505.89729 R 18.8485 0.0576
2456505.93412 R 18.7968 0.065
2456506.83542 R 18.8813 0.0564
2456506.94094 R 18.9552 0.0457
2456506.94094 R 18.9485 0.038
2456506.97731 R 18.9195 0.0414
2456507.88238 R 18.9434 0.0469
2456507.93869 R 19.0167 0.0486
2456507.93869 R 19.0019 0.0381
2456507.97469 R 18.9286 0.047
2456508.87705 R 18.8448 0.0448
2456508.94431 R 18.8472 0.0519
2456508.94431 R 18.8651 0.0356
2456508.98215 R 18.9057 0.0439
2456509.88442 R 18.9249 0.0484
2456509.94117 R 18.9467 0.0365
2456509.94117 R 18.9225 0.0467
2456509.97876 R 18.9869 0.0478
2456510.88041 R 18.9222 0.0438
2456510.93645 R 18.9795 0.0371
2456510.93645 R 19.0694 0.0542
2456510.97301 R 19.0548 0.0468
2456511.88021 R 19.0507 0.0531
2456511.93956 R 19.1358 0.0604
2456511.93956 R 19.1432 0.0493
2456511.97718 R 19.2027 0.2018
2456512.87933 R 19.1723 0.0549
2456512.94029 R 19.1785 0.0446
2456512.94029 R 19.1113 0.0596
2456512.97741 R 19.1822 0.0573
2456513.87966 R 19.1194 0.0533
2456513.93363 R 19.1894 0.0529
2456513.93363 R 19.1827 0.046
2456513.97163 R 19.1975 0.0676
2456514.87303 R 19.1102 0.0566
2456514.93368 R 19.3655 0.0588
2456514.93368 R 19.2587 0.0453
2456514.96995 R 19.2725 0.0543
2456515.87189 R 19.3817 0.0614
2456515.92953 R 19.3566 0.0533
2456515.92953 R 19.4161 0.0654
2456515.96583 R 19.3424 0.0632
2456516.86728 R 19.4591 0.0679
2456516.92193 R 19.6279 0.0583
2456516.92193 R 19.728 0.0826
2456516.9598 R 19.7105 0.0797
2456517.86102 R 19.4414 0.0685
2456517.91848 R 19.385 0.0647
2456517.91848 R 19.4468 0.0543
2456517.9555 R 19.4943 0.0899
2456518.85781 R 19.592 0.0727
2456518.90834 R 19.6092 0.0606
2456518.90834 R 19.6169 0.0785
2456518.94539 R 19.7104 0.0881
2456519.84685 R 19.6147 0.0805
2456519.93818 R 19.911 0.1045
2456519.97407 R 19.6721 0.071
2456520.87562 R 19.6766 0.0793
2456520.93424 R 19.7889 0.0836
2456520.93424 R 19.7613 0.0675
2456520.97124 R 19.7447 0.0871
2456521.87817 R 19.9648 0.1172
2456521.93285 R 19.5667 0.0912
2456521.96888 R 19.6105 0.0754
2456532.69501 R 19.9084 0.193
2456532.73542 R 19.7044 0.096
2456532.73542 R 19.6348 0.1465
2456532.78169 R 19.846 0.121
2456533.69295 R 20.1742 0.1438
2456533.74172 R 20.0538 0.2033
2456533.77869 R 20.0556 0.1242
2456537.83638 R 20.1098 0.1197
2456537.94253 R 20.0352 0.1288
2456537.94253 R 20.1877 0.0925
2456537.97856 R 20.2339 0.1333
2456539.67664 R 20.2657 0.1546
2456539.72507 R 20.6754 0.2074
2456539.72507 R 20.4394 0.1236
2456539.76178 R 20.1377 0.1153
2456541.67046 R 20.0598 0.1328
2456541.71188 R 20.373 0.1582
2456541.71188 R 20.2307 0.1152
2456541.75167 R 20.4552 0.1711
2456542.66641 R 20.2222 0.1724
2456543.70243 R 20.3736 0.1247
2456543.70243 R 19.988 0.1894
2456543.74148 R 20.4122 0.1768
2456546.6988 R 20.4923 0.2125
2456549.68839 R 20.3773 0.2163
2456566.74635 R 21.3093 0.1928
2456572.92545 R 20.7954 0.2006
