No data from PTF
 
2456503.82128 R 19.94 0.1513
2456503.86729 R 20.0247 0.0939
2456503.86729 R 20.0381 0.1545
2456503.90461 R 20.0346 0.1013
2456504.82421 R 20.3177 0.1846
2456504.86678 R 20.2196 0.1235
2456504.90597 R 20.4666 0.1475
2456505.81545 R 20.6119 0.1485
2456505.93285 R 20.3035 0.1266
2456505.96932 R 20.3438 0.1325
2456506.87102 R 19.4858 0.1648
2456506.99925 R 19.5872 0.1794
2456507.80347 R 20.4721 0.143
2456507.84475 R 20.6603 0.1156
2456507.84475 R 20.257 0.1481
2456508.89499 R 20.3569 0.1042
2456509.77271 R 20.3679 0.1309
2456509.81032 R 20.3914 0.1305
2456509.81032 R 20.3542 0.1082
2456510.0009 R 20.2594 0.1719
2456510.90326 R 20.5286 0.1858
2456510.9928 R 20.5885 0.133
2456511.82413 R 20.6053 0.1356
2456512.75009 R 20.9002 0.1936
2456513.74692 R 20.8534 0.1854
2456513.78336 R 20.8794 0.1661
2456514.7441 R 20.5035 0.1684
2456514.78561 R 20.6144 0.155
2456515.74145 R 20.2125 0.1336
2456515.77803 R 20.2495 0.1657
2456516.73816 R 20.6769 0.1615
2456518.77009 R 19.6735 0.1803
