No data from PTF
 
2456505.8412 R 20.8545 0.1914
2456505.87796 R 20.6461 0.2167
2456506.7899 R 20.7789 0.1473
2456506.82683 R 20.2231 0.1624
2456506.82683 R 20.5727 0.108
2456506.86507 R 20.4411 0.1186
2456507.78797 R 20.1544 0.1735
2456507.82407 R 20.5024 0.1029
2456507.82407 R 20.5675 0.1452
2456507.86027 R 20.4933 0.1237
2456508.76543 R 20.4891 0.1506
2456508.80704 R 20.4857 0.0996
2456508.80704 R 20.5165 0.1728
2456508.84672 R 20.3099 0.1093
2456509.76147 R 20.4236 0.1383
2456509.7988 R 20.3602 0.1312
2456509.7988 R 20.4727 0.1162
2456509.83632 R 20.0779 0.1332
2456510.74841 R 19.6607 0.1416
2456510.78544 R 20.1109 0.0818
2456510.78544 R 20.2658 0.1208
2456510.82249 R 20.0673 0.0915
2456511.74204 R 19.8946 0.1263
2456511.77817 R 20.3231 0.1297
2456511.77817 R 20.1 0.0823
2456511.81667 R 20.1086 0.1006
2456512.73881 R 20.0622 0.1841
2456512.77565 R 20.0956 0.0934
2456512.77565 R 20.2611 0.1766
2456512.81245 R 19.8905 0.0963
2456513.73649 R 19.764 0.1235
2456513.77287 R 20.0385 0.0855
2456513.77287 R 20.0314 0.1254
2456513.81307 R 20.1066 0.0904
2456514.73369 R 19.8464 0.1509
2456514.77071 R 20.1566 0.111
2456514.77071 R 20.0035 0.0903
2456514.80691 R 19.8983 0.0983
2456515.73146 R 19.359 0.1287
2456515.76752 R 19.7407 0.0786
2456515.76752 R 19.7534 0.0875
2456515.8034 R 19.6362 0.0756
2456516.72847 R 19.9483 0.1118
2456516.76508 R 19.9104 0.0726
2456516.76508 R 19.7381 0.087
2456516.80187 R 20.0258 0.0873
2456517.72601 R 19.3974 0.1504
2456517.76321 R 19.7067 0.091
2456517.76321 R 20.0023 0.1012
2456517.80063 R 19.8008 0.1273
2456518.72313 R 19.7306 0.2013
2456518.76255 R 19.7627 0.1557
2456518.76255 R 19.7089 0.1162
2456518.79903 R 19.7617 0.1231
2456519.71985 R 19.5485 0.1798
2456519.75674 R 19.9572 0.1757
2456519.75674 R 20.0756 0.121
2456519.79286 R 19.9523 0.0973
2456520.71759 R 19.5846 0.1879
2456520.75438 R 19.5977 0.1119
2456520.75438 R 19.5337 0.1337
2456520.79097 R 19.3686 0.1287
2456521.75347 R 19.9592 0.1956
2456521.75347 R 19.7771 0.1391
2456521.79328 R 19.8288 0.1275
2456545.85801 R 20.7926 0.1339
2456545.8944 R 20.7596 0.1704
2456546.79806 R 20.8257 0.1571
2456546.83434 R 20.7621 0.1213
2456546.87097 R 20.9176 0.2019
2456547.77345 R 20.6741 0.1605
2456547.81762 R 20.8237 0.1589
2456549.78692 R 20.7443 0.1599
