No data from PTF
 
2456505.84478 R 20.7389 0.1439
2456505.93544 R 20.0551 0.1696
2456506.8733 R 20.1926 0.1929
2456507.99384 R 20.6316 0.1378
2456508.80365 R 20.5744 0.2032
2456509.83897 R 20.4466 0.1085
2456509.83897 R 20.2553 0.1854
2456510.00204 R 20.4793 0.1729
2456510.90441 R 20.8111 0.1513
2456510.99395 R 20.2895 0.1676
2456511.83701 R 20.7292 0.1463
2456512.82238 R 20.3751 0.1964
2456513.81968 R 20.8754 0.162
2456514.81785 R 20.3862 0.1985
2456516.80414 R 20.8406 0.1684
2456518.79789 R 21.0017 0.1494
2456519.86392 R 21.1527 0.1842
2456519.95733 R 21.3945 0.1681
2456520.95063 R 21.3963 0.1722
2456521.95162 R 21.4333 0.1775
2456521.98813 R 21.3096 0.1947
