No data from PTF
 
2456504.87417 R 20.563 0.1589
2456504.91098 R 20.6352 0.1569
2456505.83311 R 20.4518 0.1942
2456505.9273 R 20.7181 0.1681
2456506.82913 R 20.3564 0.1193
2456506.93979 R 20.4138 0.0986
2456506.93979 R 20.3078 0.1103
2456506.97603 R 20.3552 0.1038
2456507.87897 R 19.974 0.0836
2456507.93164 R 20.003 0.0706
2456507.93164 R 20.0266 0.1002
2456507.96876 R 20.1172 0.0939
2456508.86998 R 20.0274 0.0922
2456508.94316 R 20.0008 0.0856
2456508.94316 R 20.0284 0.0728
2456508.98075 R 19.9495 0.0788
2456509.88201 R 19.9065 0.0734
2456509.94002 R 19.7741 0.0686
2456509.94002 R 19.9011 0.06
2456509.97736 R 19.8472 0.0675
2456510.87926 R 19.8517 0.0737
2456510.93289 R 19.6853 0.0538
2456510.93289 R 19.611 0.0656
2456510.97162 R 19.6027 0.0613
2456511.87449 R 19.6062 0.0755
2456511.93841 R 19.6301 0.0521
2456511.93841 R 19.7408 0.0632
2456511.97554 R 19.6509 0.0691
2456512.87817 R 19.6029 0.0689
2456512.93668 R 19.6038 0.065
2456512.93668 R 19.6005 0.0515
2456512.97353 R 19.6616 0.0622
2456513.87491 R 19.4589 0.0585
2456513.9325 R 19.519 0.0481
2456513.9325 R 19.6216 0.0594
2456513.97025 R 19.4265 0.0546
2456514.87189 R 19.5683 0.0663
2456514.93249 R 19.4834 0.0487
2456514.93249 R 19.4387 0.0572
2456514.9686 R 19.492 0.0566
2456515.87075 R 19.4966 0.0603
2456515.9284 R 19.3526 0.052
2456515.9284 R 19.41 0.0456
2456515.96446 R 19.4275 0.0522
2456516.86615 R 19.5186 0.0578
2456516.9208 R 19.5041 0.0468
2456516.9208 R 19.4013 0.0496
2456516.9584 R 19.4727 0.0509
2456517.85987 R 19.4254 0.052
2456517.91481 R 19.3614 0.0648
2456517.91481 R 19.3826 0.0443
2456517.95133 R 19.3813 0.064
2456518.85292 R 19.3866 0.0519
2456518.90721 R 19.3316 0.0509
2456518.90721 R 19.401 0.0438
2456518.9441 R 19.373 0.0629
2456519.84571 R 19.4419 0.0598
2456519.93699 R 19.3944 0.0472
2456519.93699 R 19.2871 0.0524
2456519.97294 R 19.4344 0.0552
2456520.87449 R 19.2396 0.0548
2456520.93307 R 19.2738 0.046
2456520.93307 R 19.3363 0.0531
2456520.97009 R 19.3809 0.051
2456521.87242 R 19.3336 0.0698
2456521.93166 R 19.4804 0.0615
2456521.93166 R 19.4256 0.0489
2456521.96773 R 19.4742 0.0568
2456532.72962 R 19.9784 0.1207
2456532.78054 R 19.8801 0.1072
2456532.78054 R 19.8365 0.0862
2456532.81785 R 19.8253 0.1554
2456533.87429 R 19.7211 0.1076
2456537.82735 R 19.9831 0.0901
2456537.9395 R 19.8876 0.1023
2456537.9395 R 19.9489 0.0718
2456537.97613 R 19.8441 0.0787
2456539.7109 R 20.2304 0.1449
2456539.75951 R 20.0113 0.1008
2456539.75951 R 19.9189 0.1351
2456539.81102 R 20.159 0.1205
2456540.95668 R 19.7121 0.166
2456540.99763 R 20.0442 0.103
2456541.70498 R 20.226 0.186
2456541.74818 R 20.0299 0.0989
2456541.74818 R 19.9177 0.1146
2456541.79057 R 20.1855 0.175
2456543.70017 R 20.1453 0.1245
2456543.73917 R 20.1573 0.0941
2456543.73917 R 20.1765 0.1221
2456543.77956 R 20.2307 0.119
2456545.72688 R 20.2696 0.1489
2456545.91396 R 20.1794 0.1031
2456546.69074 R 19.964 0.1697
2456546.72668 R 20.1624 0.1251
2456546.72668 R 20.1781 0.2003
2456546.89932 R 20.2906 0.1101
2456547.80071 R 20.2113 0.1161
2456547.92089 R 20.2569 0.1465
2456547.95685 R 20.256 0.138
2456548.85877 R 20.3186 0.1214
2456548.95285 R 20.0899 0.1369
2456549.85447 R 20.1102 0.144
2456549.93204 R 20.1925 0.1486
2456549.96808 R 20.3678 0.1138
2456550.87001 R 20.6483 0.17
2456550.93014 R 20.3219 0.1056
2456550.93014 R 20.5795 0.1067
2456550.96404 R 20.6397 0.1395
2456551.9074 R 20.4188 0.1641
2456551.9074 R 20.4283 0.1494
2456551.94023 R 20.3576 0.1821
2456562.95686 R 21.0912 0.1821
2456565.90804 R 20.9529 0.1829
2456567.86675 R 21.0358 0.1937
2456568.84772 R 20.9812 0.1662
2456571.88664 R 21.4624 0.1882
2456572.87406 R 21.2422 0.1631
