No data from PTF
 
2456506.8505 R 20.2512 0.178
2456506.88737 R 20.3136 0.1547
2456507.82706 R 19.668 0.0928
2456507.865 R 19.687 0.0638
2456507.865 R 19.7729 0.0851
2456507.90473 R 19.7074 0.0768
2456508.8059 R 19.3949 0.0701
2456508.84332 R 19.5635 0.0658
2456508.84332 R 19.511 0.0496
2456508.9112 R 19.3952 0.0535
2456509.81372 R 19.219 0.0626
2456509.85181 R 19.2088 0.0624
2456509.85181 R 19.1916 0.044
2456509.90836 R 19.0998 0.0411
2456510.81019 R 19.0873 0.0518
2456510.84631 R 19.0277 0.037
2456510.84631 R 18.96 0.0457
2456510.89669 R 18.9909 0.0396
2456511.79828 R 18.854 0.0437
2456511.83475 R 18.8345 0.0394
2456511.83475 R 18.8888 0.0333
2456511.89446 R 18.8753 0.0365
2456512.79654 R 18.8535 0.0532
2456512.83323 R 18.8647 0.0356
2456512.83323 R 18.8587 0.0497
2456512.89113 R 18.8447 0.0415
2456513.79293 R 18.7289 0.0435
2456513.82906 R 18.7908 0.0365
2456513.82906 R 18.7776 0.0311
2456513.87844 R 18.8242 0.0338
2456514.78053 R 18.6518 0.0509
2456514.81672 R 18.7153 0.0312
2456514.81672 R 18.7308 0.0404
2456514.8978 R 18.7478 0.0319
2456515.80002 R 18.7299 0.0413
2456515.83694 R 18.7432 0.0361
2456515.83694 R 18.7391 0.0312
2456515.88043 R 18.7297 0.0348
2456516.78267 R 18.7142 0.0424
2456516.81928 R 18.7181 0.0368
2456516.81928 R 18.6825 0.03
2456516.85815 R 18.7369 0.0325
2456517.76208 R 18.7623 0.0519
2456517.79837 R 18.7439 0.0386
2456517.79837 R 18.6906 0.0313
2456517.83792 R 18.6567 0.0338
2456518.76029 R 18.7634 0.0662
2456518.79676 R 18.7101 0.0434
2456518.79676 R 18.6965 0.0338
2456518.85659 R 18.7598 0.0359
2456519.75786 R 18.8432 0.0801
2456519.7953 R 18.6033 0.0448
2456519.7953 R 18.7134 0.0362
2456519.86622 R 18.7049 0.0359
2456520.76841 R 18.7558 0.0747
2456520.80677 R 18.7568 0.0411
2456520.80677 R 18.7536 0.059
2456520.84446 R 18.7877 0.0435
2456521.75234 R 18.6322 0.084
2456521.79102 R 18.8441 0.0486
2456521.79102 R 18.8775 0.0649
2456521.82918 R 18.7011 0.0555
2456547.74909 R 19.0585 0.0586
2456547.79488 R 19.0154 0.047
2456547.83285 R 19.0826 0.0543
