No data from PTF
 
2456518.95632 R 20.694 0.1885
2456519.85764 R 20.5002 0.2074
2456519.95262 R 20.4013 0.131
2456519.95262 R 20.3766 0.1492
2456519.98959 R 20.5088 0.1837
2456520.89163 R 20.4386 0.1157
2456520.94591 R 20.553 0.1153
2456520.94591 R 20.3485 0.1545
2456520.98193 R 20.4041 0.1205
2456521.88407 R 20.0325 0.1165
2456521.94693 R 20.2788 0.0893
2456521.94693 R 20.2447 0.1177
2456521.98346 R 20.5721 0.1252
2456532.80492 R 19.9179 0.1353
2456532.84106 R 19.7037 0.0755
2456532.84106 R 19.6397 0.1016
2456532.87793 R 19.5789 0.0843
2456533.80218 R 19.6632 0.097
2456533.91354 R 19.6234 0.0645
2456533.91354 R 19.6309 0.0858
2456533.9506 R 19.5706 0.0918
2456537.79171 R 19.6152 0.126
2456537.96251 R 19.7978 0.0686
2456537.96251 R 19.8475 0.0742
2456537.99866 R 19.7701 0.0756
2456539.78619 R 19.9398 0.1161
2456539.84933 R 19.8386 0.0849
2456539.84933 R 19.774 0.0644
2456539.8858 R 19.7742 0.0995
2456540.94791 R 19.755 0.0776
2456541.0102 R 19.8348 0.1242
2456541.77984 R 19.873 0.1163
2456541.81978 R 20.0721 0.1499
2456541.81978 R 19.9668 0.0877
2456541.85601 R 19.9652 0.0981
2456542.95089 R 19.9934 0.1145
2456543.88929 R 20.0111 0.1177
2456543.95644 R 20.066 0.1357
2456543.95644 R 19.9434 0.0886
2456546.76817 R 20.2641 0.1334
2456546.92161 R 19.9649 0.0894
2456546.92161 R 19.9783 0.0737
2456546.95802 R 19.9548 0.0977
2456547.85993 R 20.056 0.0992
2456548.92267 R 19.9366 0.0908
2456549.002 R 20.2118 0.1135
2456549.90348 R 20.2641 0.1118
2456549.94981 R 20.1822 0.1082
2456549.98654 R 20.3698 0.1622
2456550.88865 R 20.3081 0.1679
2456550.95216 R 20.0978 0.0941
2456550.95216 R 20.1071 0.1137
2456550.98575 R 20.2121 0.1387
2456551.88715 R 20.3008 0.1441
2456551.94782 R 20.5294 0.1649
2456551.94782 R 20.4623 0.1257
2456551.98069 R 20.093 0.158
2456561.85927 R 21.2242 0.1777
2456565.87588 R 20.9668 0.1787
2456565.96131 R 20.6258 0.1886
2456567.74275 R 21.0722 0.1883
2456568.74039 R 21.3308 0.2153
2456569.95171 R 21.1582 0.1872
