No data from PTF
 
2456520.90242 R 21.0867 0.1738
2456520.95458 R 21.1331 0.1634
2456520.95458 R 21.2125 0.1496
2456521.95705 R 20.744 0.2086
2456521.95705 R 20.9538 0.1248
2456521.99322 R 20.7148 0.131
2456528.00686 R 19.2029 0.158
2456532.78288 R 19.0459 0.0689
2456532.85756 R 18.8091 0.0492
2456532.85756 R 18.8156 0.0367
2456532.89606 R 18.8151 0.0419
2456533.79859 R 18.8384 0.0459
2456533.93353 R 18.7639 0.0328
2456533.93353 R 18.7483 0.0406
2456533.97068 R 18.9405 0.0445
2456537.82164 R 18.7522 0.0319
2456537.99116 R 18.7467 0.0283
2456538.95591 R 18.6911 0.0575
2456539.76405 R 18.7401 0.0445
2456539.88238 R 18.735 0.0317
2456539.91975 R 18.7568 0.0301
2456540.90815 R 18.7378 0.0305
2456541.76347 R 18.6843 0.0449
2456541.82942 R 18.7297 0.0425
2456541.82942 R 18.8284 0.0486
2456542.96472 R 18.8872 0.0337
2456543.00183 R 18.838 0.0345
2456543.90361 R 18.9248 0.0356
2456543.96848 R 18.8645 0.0341
2456543.96848 R 18.8634 0.0345
2456544.00551 R 18.3757 0.0998
2456546.74811 R 18.9176 0.0719
2456546.94398 R 18.9538 0.0342
2456546.94398 R 18.9921 0.0367
2456546.9802 R 19.046 0.0359
2456547.88218 R 19.1359 0.0435
2456548.00311 R 19.1412 0.0432
2456548.74038 R 19.1967 0.0914
2456548.78995 R 19.1377 0.0579
2456548.98563 R 19.2265 0.0469
2456549.88722 R 19.1894 0.0495
2456549.98194 R 19.3153 0.0486
2456550.01828 R 19.2785 0.0575
2456550.91961 R 19.3852 0.0469
2456550.99466 R 19.3592 0.0464
2456550.99466 R 19.3357 0.0455
2456551.02722 R 19.4184 0.1197
2456551.92958 R 19.3906 0.0668
2456551.96987 R 19.3575 0.0511
2456551.96987 R 19.3764 0.044
2456552.00362 R 19.5028 0.0571
2456552.90524 R 19.5554 0.1136
2456552.94818 R 19.4543 0.0605
2456552.94818 R 19.5453 0.0911
2456552.98155 R 19.3564 0.0741
2456561.70384 R 19.8253 0.1148
2456561.88737 R 19.7307 0.0838
2456561.88737 R 19.7217 0.1218
2456561.92042 R 19.5147 0.0946
2456562.90505 R 19.6533 0.073
2456563.01845 R 19.5522 0.092
2456563.70036 R 19.9775 0.1336
2456563.77655 R 19.5629 0.1019
2456563.77655 R 19.7205 0.0675
2456563.81064 R 19.4997 0.0741
2456564.72609 R 19.6617 0.1142
2456564.98971 R 19.6661 0.0857
2456564.98971 R 19.7328 0.0692
2456565.02341 R 19.6503 0.0972
2456565.92499 R 19.6362 0.0945
2456565.98904 R 19.49 0.056
2456565.98904 R 19.3961 0.0728
2456566.02219 R 19.5823 0.0939
2456566.92366 R 19.7084 0.0646
2456566.95953 R 19.7139 0.056
2456566.95953 R 19.6624 0.0748
2456566.9944 R 19.6828 0.0744
2456567.89649 R 19.7389 0.0624
2456567.96362 R 19.8017 0.0559
2456567.96362 R 19.6834 0.0712
2456567.99701 R 19.7654 0.0692
2456568.8991 R 19.7365 0.0674
2456568.96163 R 19.7717 0.058
2456568.96163 R 19.7295 0.0725
2456568.99502 R 19.946 0.0882
2456569.89742 R 19.7503 0.0793
2456569.99459 R 19.7371 0.0843
2456569.99459 R 19.8189 0.0686
2456570.02738 R 19.7871 0.1126
2456571.01271 R 19.861 0.2037
2456571.91427 R 19.7893 0.1273
2456571.96584 R 19.8426 0.1107
2456571.96584 R 20.0065 0.1203
2456572.90253 R 20.1215 0.0929
2456573.92082 R 19.7556 0.1168
2456573.95356 R 19.8404 0.0902
2456576.86237 R 20.3693 0.097
2456577.00182 R 20.2101 0.1356
2456577.00182 R 20.0304 0.1104
2456589.79152 R 20.8908 0.1894
2456589.81609 R 20.6964 0.1704
2456589.81609 R 20.4979 0.1159
2456589.84277 R 20.327 0.1758
2456590.75777 R 20.8278 0.1632
2456590.87123 R 20.7919 0.1744
2456592.80778 R 20.4013 0.1915
2456592.91939 R 20.7367 0.1705
2456592.91939 R 20.8337 0.1404
2456592.94494 R 20.8452 0.1844
2456597.82035 R 20.9263 0.1568
2456597.84584 R 20.683 0.2163
2456598.81825 R 20.8702 0.2082
2456598.81825 R 20.9112 0.1498
2456600.76116 R 20.8528 0.2068
2456601.8761 R 20.8574 0.1398
2456603.81343 R 20.7805 0.1633
2456607.82409 R 20.8103 0.1391
2456607.85111 R 20.7067 0.1706
