No data from PTF
 
2456532.91359 R 20.7021 0.1498
2456532.91359 R 20.7101 0.2062
2456532.95005 R 20.4088 0.1457
2456533.88852 R 20.2457 0.1431
2456533.88852 R 20.3436 0.1135
2456533.92477 R 20.1096 0.1779
2456537.84449 R 19.3955 0.0627
2456537.88163 R 19.272 0.0436
2456537.88163 R 19.2632 0.0566
2456537.91769 R 19.2895 0.0548
2456539.83068 R 19.098 0.0765
2456539.8677 R 19.0997 0.0448
2456539.8677 R 19.0718 0.0395
2456539.90468 R 19.1476 0.0519
2456540.94111 R 19.2151 0.1177
2456540.97722 R 19.0933 0.0441
2456540.97722 R 19.106 0.0436
2456541.01358 R 19.0435 0.0482
2456541.91583 R 18.4567 0.0994
2456541.95248 R 19.0391 0.0406
2456541.95248 R 19.0153 0.0398
2456541.98888 R 19.0705 0.0399
2456542.9316 R 18.9417 0.0437
2456542.96704 R 18.9983 0.042
2456542.96704 R 18.9802 0.0352
2456543.00303 R 18.9722 0.0402
2456543.94186 R 18.345 0.0475
2456543.94186 R 18.4549 0.0851
2456545.81491 R 17.817 0.1667
2456545.85091 R 18.9804 0.0572
2456545.85091 R 18.8287 0.0468
2456545.8872 R 18.9493 0.0443
2456546.81189 R 19.0166 0.0541
2456546.84816 R 18.8908 0.042
2456546.84816 R 18.9799 0.0358
2456546.8851 R 19.0152 0.0402
2456547.81032 R 19.0774 0.0621
2456547.84691 R 19.0615 0.0467
2456547.88444 R 19.0259 0.0424
2456548.80664 R 19.1458 0.0584
2456548.84337 R 19.0241 0.0442
2456548.88079 R 19.0855 0.0479
2456549.80382 R 19.1987 0.0952
2456549.8401 R 19.0667 0.0641
2456549.88953 R 18.9552 0.0577
2456550.80113 R 19.3702 0.1003
2456550.83381 R 19.1715 0.059
2456550.83381 R 19.0726 0.0748
2456550.86762 R 19.1574 0.0816
2456551.79809 R 19.5233 0.1067
2456551.83098 R 19.4122 0.0962
2456551.83098 R 19.4006 0.0698
2456551.8641 R 19.4112 0.0841
2456552.79574 R 19.265 0.1157
2456552.82975 R 19.406 0.1119
2456552.8625 R 19.3637 0.1068
2456561.77111 R 19.547 0.1499
2456561.82073 R 19.4364 0.1094
2456561.82073 R 19.6107 0.1584
2456561.85277 R 19.6366 0.152
2456562.94543 R 19.8463 0.1216
2456562.97793 R 19.7572 0.1072
2456562.97793 R 19.8496 0.0743
2456563.01137 R 19.7756 0.1041
2456563.9133 R 19.5323 0.1118
2456563.94645 R 19.4756 0.1153
2456563.94645 R 19.5708 0.0832
2456563.9794 R 19.8466 0.1225
2456564.88442 R 19.8616 0.1106
2456564.91747 R 19.8669 0.0711
2456564.91747 R 19.9103 0.0933
2456564.94995 R 19.7919 0.0906
2456565.85257 R 20.0784 0.1053
2456565.89005 R 19.7681 0.0699
2456565.89005 R 19.9241 0.145
2456565.92617 R 19.6735 0.101
2456566.82865 R 19.94 0.0984
2456566.86105 R 19.7987 0.1156
2456566.86105 R 19.924 0.0689
2456566.89484 R 20.1415 0.104
2456567.79679 R 20.0055 0.0932
2456567.83255 R 20.0916 0.1216
2456567.83255 R 20.1131 0.0718
2456567.86544 R 20.0595 0.0953
2456568.76775 R 20.0878 0.1119
2456568.80207 R 20.117 0.0758
2456568.80207 R 20.0663 0.0924
2456568.83554 R 19.8807 0.0939
2456569.80166 R 20.6624 0.2142
2456569.80166 R 20.69 0.1188
2456569.8352 R 20.2015 0.1061
2456572.77369 R 20.2496 0.1366
2456573.77212 R 20.4057 0.1774
2456573.80552 R 20.5723 0.1508
2456576.89391 R 21.0843 0.1753
2456576.95979 R 21.0299 0.1896
2456577.8622 R 21.0959 0.19
2456578.83168 R 20.4204 0.144
2456579.83215 R 20.5607 0.1465
2456579.83215 R 20.383 0.2042
2456580.78544 R 20.7447 0.2005
2456589.72476 R 20.8121 0.1643
2456589.72476 R 20.2042 0.1961
2456592.81877 R 21.0015 0.1558
2456599.6916 R 21.1856 0.1838
2456604.81609 R 20.8935 0.2012
