No data from PTF
 
2456533.80091 R 15.9555 0.0056
2456533.87197 R 15.9233 0.0063
2456533.87197 R 15.9318 0.0056
2456533.90859 R 15.9165 0.0052
2456537.85351 R 15.7192 0.0031
2456537.89679 R 15.7326 0.003
2456537.89679 R 15.7204 0.0052
2456537.93572 R 15.7184 0.0028
2456538.95476 R 15.7542 0.0157
2456539.77815 R 15.6793 0.004
2456539.81447 R 15.6818 0.0034
2456539.81447 R 15.6787 0.0052
2456539.8506 R 15.6762 0.0031
2456540.95137 R 15.6664 0.003
2456540.99532 R 15.6634 0.0029
2456541.77156 R 15.6687 0.0041
2456541.8083 R 15.679 0.0039
2456542.80633 R 15.695 0.0044
2456542.85142 R 15.6604 0.0035
2456543.76586 R 15.6762 0.0042
2456543.80291 R 15.6856 0.0053
2456543.80291 R 15.6918 0.0038
2456543.83947 R 15.6731 0.0034
2456545.90773 R 15.7535 0.0034
2456546.7588 R 15.8032 0.0048
2456546.89579 R 15.7954 0.0055
2456546.89579 R 15.8071 0.0033
2456546.93236 R 15.815 0.0033
2456547.83414 R 15.8899 0.004
2456547.91568 R 15.88 0.0036
2456547.9522 R 15.8922 0.0037
2456548.85396 R 15.9649 0.0041
2456548.91406 R 15.9827 0.0039
2456548.95042 R 15.9852 0.0039
2456549.85215 R 16.0437 0.0048
2456549.92603 R 16.0441 0.0041
2456549.92603 R 16.0212 0.0062
2456549.96463 R 16.0497 0.004
2456550.86635 R 16.1222 0.0062
2456550.92757 R 16.1353 0.0042
2456550.92757 R 16.1337 0.0066
2456550.9617 R 16.1414 0.0041
2456551.86286 R 16.1735 0.0076
2456551.90313 R 16.1874 0.0073
2456551.90313 R 16.1856 0.007
2456551.93664 R 16.1977 0.0052
2456552.83782 R 16.2261 0.0096
2456552.87101 R 16.2454 0.0084
2456552.87101 R 16.1988 0.0089
2456552.91362 R 16.2123 0.0082
2456561.71697 R 16.3798 0.0086
2456561.78735 R 16.3768 0.009
2456561.78735 R 16.3458 0.0111
2456561.83216 R 16.3733 0.0104
2456562.91083 R 16.3903 0.007
2456562.95455 R 16.4015 0.0069
2456562.95455 R 16.3856 0.008
2456562.98728 R 16.375 0.0072
2456563.8887 R 16.4139 0.0063
2456563.923 R 16.4257 0.007
2456563.923 R 16.4067 0.0078
2456563.9562 R 16.4147 0.0065
2456564.85902 R 16.4283 0.0061
2456564.89358 R 16.4274 0.0064
2456564.89358 R 16.4316 0.0079
2456564.93631 R 16.4287 0.0064
2456565.83828 R 16.4606 0.0063
2456565.90568 R 16.4818 0.0081
2456565.90568 R 16.4596 0.0066
2456565.93845 R 16.475 0.0065
2456566.84046 R 16.5083 0.0066
2456566.87712 R 16.4956 0.008
2456566.87712 R 16.4973 0.0063
2456566.92594 R 16.5064 0.0064
2456567.82777 R 16.564 0.0062
2456567.8626 R 16.5632 0.0082
2456567.8626 R 16.5621 0.0063
2456567.90771 R 16.5638 0.0062
2456568.80898 R 16.6179 0.0069
2456568.84187 R 16.6231 0.0064
2456568.84187 R 16.6136 0.0084
2456568.87701 R 16.6235 0.0065
2456569.78395 R 16.6181 0.0085
2456569.91078 R 16.7129 0.0085
2456569.91078 R 16.6584 0.0091
2456569.94443 R 16.6634 0.0076
2456570.8464 R 16.6936 0.0165
