No data from PTF
 
2456532.90707 R 20.5275 0.1493
2456533.84573 R 20.3918 0.1575
2456537.80918 R 20.0571 0.1267
2456539.73135 R 19.764 0.1745
2456539.94714 R 19.9297 0.1356
2456539.94714 R 19.8784 0.1229
2456539.9835 R 20.0411 0.1338
2456540.92961 R 20.0853 0.1348
2456541.89999 R 20.1668 0.1329
2456541.89999 R 20.2178 0.096
2456541.93873 R 20.1142 0.1233
2456542.8433 R 20.3953 0.1453
2456543.72023 R 20.1667 0.1444
2456543.81667 R 20.0316 0.0951
2456543.81667 R 20.0083 0.1192
2456543.85737 R 19.9643 0.1201
2456546.99688 R 20.4949 0.1961
2456547.70918 R 19.8147 0.2098
2456547.74683 R 20.384 0.2053
2456548.70696 R 20.1046 0.1905
2456549.01648 R 20.3817 0.1698
2456549.74072 R 20.0639 0.167
2456550.73416 R 20.1089 0.1819
2456552.98804 R 20.1008 0.184
2456561.93473 R 20.5449 0.152
2456563.84257 R 20.5187 0.1391
