No data from PTF
 
2456543.72135 R 20.9403 0.1681
2456545.75787 R 20.3549 0.145
2456545.83506 R 20.2745 0.1341
2456545.83506 R 20.394 0.1083
2456545.87207 R 20.5853 0.1406
2456546.77712 R 20.1284 0.107
2456546.822 R 20.1649 0.0854
2456546.822 R 20.0517 0.1005
2456546.85874 R 20.1687 0.1035
2456547.76069 R 19.9169 0.0929
2456547.80782 R 19.9937 0.0958
2456547.84558 R 19.7068 0.0847
2456548.74793 R 19.6148 0.0921
2456548.78525 R 19.5831 0.0839
2456548.82573 R 19.5407 0.0781
2456549.72654 R 19.5684 0.1001
2456549.77262 R 19.7427 0.107
2456549.81024 R 19.7856 0.1026
2456550.7119 R 19.5442 0.1276
2456550.74519 R 19.5408 0.0842
2456550.74519 R 19.3765 0.1066
2456550.7778 R 19.6186 0.1161
2456551.67948 R 19.2312 0.1242
2456551.71419 R 19.3986 0.088
2456551.71419 R 19.4811 0.1366
2456551.74742 R 19.6412 0.1234
2456552.65848 R 19.4205 0.156
2456552.69244 R 19.4447 0.1436
2456552.69244 R 19.5423 0.1193
2456552.72545 R 19.3534 0.1361
2456561.63324 R 19.0586 0.0752
2456561.66562 R 19.1583 0.0537
2456561.66562 R 19.1722 0.0441
2456561.74345 R 19.3233 0.057
2456563.62912 R 19.2713 0.0887
2456563.66225 R 19.2512 0.0511
2456563.66225 R 19.2958 0.0693
2456563.69565 R 19.1776 0.0641
2456564.62571 R 19.0607 0.0628
2456564.65898 R 19.1951 0.0499
2456564.65898 R 19.5374 0.0828
2456564.78292 R 19.2643 0.0795
2456565.68506 R 19.3522 0.0752
2456565.72012 R 19.1664 0.0601
2456565.72012 R 19.2694 0.0518
2456565.754 R 19.2028 0.0628
2456566.65583 R 19.4608 0.0761
2456566.6889 R 19.4726 0.0563
2456566.6889 R 19.5445 0.0901
2456566.72308 R 19.4371 0.0669
2456567.63098 R 19.3993 0.0884
2456567.667 R 19.5379 0.0747
2456567.667 R 19.4071 0.055
2456567.70359 R 19.3362 0.0595
2456568.61475 R 19.3134 0.0915
2456568.66108 R 19.5016 0.069
2456568.69802 R 19.3959 0.0669
2456569.75926 R 19.6396 0.0735
2456569.81025 R 19.4494 0.0569
2456569.81025 R 19.4024 0.0708
2456569.85289 R 19.4514 0.1203
2456570.75485 R 19.5786 0.1043
2456570.78895 R 19.6295 0.15
2456571.73441 R 19.4888 0.1311
2456571.77035 R 19.7423 0.1056
2456571.77035 R 19.2896 0.1253
2456571.80387 R 20.1081 0.1126
2456572.70678 R 19.7169 0.1364
2456572.73975 R 19.8163 0.0749
2456572.73975 R 20.2084 0.1294
2456572.77238 R 19.5846 0.0818
2456573.67473 R 19.8867 0.0853
2456573.71565 R 19.7307 0.0852
2456573.7485 R 19.7743 0.0793
2456574.65047 R 20.0283 0.1171
