No data from PTF
 
2456546.99134 R 20.1661 0.1679
2456547.68557 R 19.2617 0.1914
2456547.72125 R 19.6639 0.158
2456547.75731 R 19.5696 0.1101
2456548.67667 R 19.4899 0.1853
2456548.71353 R 19.447 0.1432
2456549.67459 R 18.9124 0.1404
2456549.71094 R 18.7424 0.0861
2456549.74735 R 18.9719 0.0867
2456550.67207 R 18.532 0.1283
2456550.70706 R 18.011 0.0633
2456550.70706 R 18.8102 0.1011
2456550.74058 R 18.8665 0.1011
2456551.66969 R 18.3338 0.0914
2456551.73595 R 17.521 0.0467
2456551.73595 R 18.4658 0.078
2456551.78588 R 18.2284 0.0719
2456552.68782 R 17.6987 0.0936
2456552.72317 R 18.0 0.0927
2456552.80718 R 18.3206 0.0605
2456561.6449 R 17.8144 0.0254
2456561.93002 R 17.6636 0.0487
2456563.63743 R 17.8077 0.0245
2456563.8258 R 17.7298 0.0184
2456563.8258 R 17.7045 0.0196
2456563.86003 R 17.7639 0.0237
2456564.7622 R 17.7374 0.0202
2456565.64203 R 17.7625 0.0243
2456565.67451 R 17.7745 0.0233
2456566.62826 R 17.7845 0.0256
2456567.63777 R 17.8376 0.0226
2456567.81904 R 17.8101 0.0184
2456568.625 R 17.9771 0.025
2456568.75862 R 17.8063 0.0184
2456568.79473 R 17.7878 0.0198
2456569.76653 R 17.8478 0.024
2456570.62053 R 17.7 0.0539
2456570.66403 R 17.6876 0.0313
2456570.66403 R 17.8416 0.0427
2456570.6985 R 17.6408 0.0407
2456571.61671 R 17.7985 0.052
2456571.64953 R 17.7376 0.0492
2456571.64953 R 17.9001 0.0311
2456571.69646 R 17.8115 0.0454
2456572.61522 R 18.0168 0.0362
2456572.66083 R 18.0896 0.0292
2456572.66083 R 17.9905 0.0253
2456572.69411 R 18.0079 0.0326
2456573.61413 R 18.1121 0.0424
2456574.60986 R 18.0574 0.0508
2456574.64256 R 18.2346 0.0352
2456587.65354 R 18.4997 0.0525
2456587.79891 R 18.4604 0.0401
2456587.79891 R 18.5044 0.0545
2456587.82428 R 18.5483 0.072
2456588.72549 R 18.8106 0.068
2456589.60014 R 18.7289 0.046
2456589.62501 R 18.6748 0.0408
2456589.62501 R 18.6754 0.0359
2456589.85567 R 18.636 0.0602
2456591.61372 R 18.8997 0.0745
2456591.72949 R 18.8572 0.0542
2456591.72949 R 18.8828 0.0469
2456591.7597 R 18.8664 0.0557
2456593.62471 R 18.8523 0.0523
2456593.65794 R 18.8025 0.0376
2456593.65794 R 18.8452 0.0474
2456593.68252 R 18.7732 0.0478
2456596.65715 R 18.9034 0.0533
2456596.85815 R 19.04 0.0794
2456597.60166 R 18.9255 0.0648
2456597.65211 R 19.0308 0.0902
2456598.59109 R 19.2179 0.0796
2456598.61679 R 19.1555 0.073
2456599.59301 R 19.1929 0.0778
2456599.83856 R 19.1143 0.0749
2456600.5977 R 19.2265 0.0694
2456602.64589 R 19.4003 0.0886
2456602.76877 R 18.9951 0.1225
2456602.79473 R 19.3872 0.1524
2456603.70221 R 19.5211 0.1201
2456605.61936 R 19.316 0.0759
2456605.68758 R 19.3032 0.0797
2456605.68758 R 19.369 0.0581
2456605.71272 R 19.4847 0.0829
2456606.61432 R 19.5097 0.1108
2456606.6815 R 19.3905 0.0846
2456606.6815 R 19.5157 0.0965
