No data from PTF
 
2456547.8833 R 20.5051 0.1384
2456548.00426 R 20.5319 0.208
2456548.74911 R 19.8346 0.1482
2456548.79381 R 19.7332 0.1411
2456548.98677 R 19.655 0.1087
2456549.88838 R 19.2516 0.0898
2456549.98309 R 18.6919 0.0743
2456550.01944 R 19.1546 0.1049
2456550.92076 R 18.7886 0.0508
2456550.99582 R 18.7706 0.0607
2456551.73826 R 18.4767 0.1057
2456551.77068 R 18.7993 0.0926
2456551.77068 R 18.5209 0.0652
2456551.80421 R 18.5681 0.0711
2456552.73759 R 18.3368 0.1019
2456552.77258 R 18.0337 0.0821
2456552.80603 R 18.4203 0.08
2456561.72492 R 17.1969 0.0171
2456561.907 R 17.2054 0.0148
2456561.907 R 17.2238 0.0175
2456561.93993 R 17.1966 0.0165
2456563.70896 R 17.1694 0.0144
2456563.77922 R 17.1097 0.0122
2456563.77922 R 17.1412 0.0124
2456563.81176 R 17.1204 0.0115
2456564.73921 R 17.099 0.012
2456564.99086 R 17.1087 0.0126
2456565.70089 R 17.0725 0.013
2456565.8075 R 17.0836 0.0119
2456565.8075 R 17.1002 0.0102
2456565.99019 R 17.0739 0.0131
2456566.89225 R 17.0998 0.0096
2456566.96067 R 17.0855 0.0114
2456566.96067 R 17.067 0.0109
2456566.99554 R 17.1173 0.0123
2456568.69226 R 17.0555 0.0102
2456568.73389 R 17.0736 0.009
2456568.73389 R 17.0668 0.011
2456568.76889 R 17.0608 0.0086
2456569.78916 R 17.0609 0.0119
2456569.99574 R 17.061 0.015
2456570.68736 R 17.0278 0.0334
2456570.72029 R 16.9335 0.0226
2456570.75368 R 16.9954 0.0187
2456571.68456 R 17.0774 0.0235
2456571.71819 R 16.9456 0.0241
2456571.96701 R 17.0324 0.0201
2456572.86921 R 17.1692 0.017
2456573.67825 R 17.2192 0.0137
2456573.77703 R 17.2234 0.0109
2456573.81021 R 17.2137 0.0111
2456577.80037 R 17.4653 0.0145
2456577.82574 R 17.4874 0.0135
2456578.72707 R 17.5411 0.0223
2456578.75223 R 17.5319 0.0186
2456579.75646 R 17.5234 0.0273
2456579.85616 R 17.5156 0.0264
2456580.75764 R 17.6149 0.031
2456580.85436 R 17.6352 0.0292
2456581.83539 R 17.604 0.0484
2456587.64662 R 17.7931 0.0352
2456587.78662 R 17.7914 0.0273
2456587.78662 R 17.7848 0.0244
2456587.81128 R 17.7314 0.0352
2456588.7127 R 17.86 0.0332
2456588.86885 R 17.866 0.0368
2456588.86885 R 17.9022 0.0264
2456588.89388 R 17.9322 0.0387
2456589.79645 R 17.8478 0.0238
2456589.82317 R 17.8654 0.02
2456589.82317 R 17.8595 0.0233
2456589.84861 R 17.833 0.026
2456590.76052 R 17.8906 0.0218
2456590.87236 R 17.8768 0.02
2456590.87236 R 17.8286 0.0235
2456590.89715 R 17.865 0.0255
2456591.79976 R 17.8389 0.1086
2456591.85804 R 17.8948 0.0266
2456591.85804 R 17.8676 0.0253
2456591.88256 R 17.9257 0.0255
2456592.78956 R 17.9173 0.0194
2456592.92178 R 17.9608 0.0299
2456593.62354 R 17.9278 0.0308
2456593.64852 R 17.927 0.0221
2456593.64852 R 17.8883 0.0238
2456593.67314 R 17.9591 0.0246
2456596.63292 R 17.9701 0.0332
2456596.81531 R 17.9546 0.04
2456596.81531 R 17.998 0.026
2456596.8399 R 17.9542 0.0337
2456597.74194 R 17.9643 0.036
2456597.82149 R 17.912 0.0271
2456597.82149 R 17.9014 0.0403
2456597.84698 R 17.9743 0.0386
2456598.74947 R 18.0541 0.0329
2456598.8194 R 18.0935 0.0248
2456598.8194 R 18.1025 0.0345
2456598.84612 R 18.0793 0.0317
2456599.74801 R 18.085 0.0274
2456599.79478 R 18.1649 0.0289
2456599.79478 R 18.1099 0.0252
2456599.81984 R 18.1785 0.0306
2456600.75429 R 18.2347 0.0254
2456600.87291 R 18.1486 0.0375
2456602.62583 R 17.9894 0.0664
2456602.75185 R 18.1225 0.0609
2456602.77731 R 18.2114 0.055
2456603.67896 R 18.1586 0.0496
2456603.73992 R 18.3076 0.0308
2456603.73992 R 18.3544 0.0437
2456603.81456 R 18.2762 0.0386
2456604.78454 R 18.3554 0.0392
2456605.61712 R 18.4441 0.0521
2456605.64406 R 18.3322 0.0328
2456605.64406 R 18.2869 0.0378
2456605.66887 R 18.4454 0.0436
2456606.5909 R 18.7928 0.0932
2456606.64252 R 18.6682 0.0556
2456606.64252 R 18.5737 0.0512
2456606.66728 R 18.7114 0.1313
2456607.64429 R 18.5022 0.0691
2456607.83061 R 18.6157 0.0585
2456607.83061 R 18.6112 0.0376
2456607.85578 R 18.6269 0.0469
