No data from PTF
 
2456558.64411 R 18.3013 0.0273
2456558.67771 R 18.4037 0.0363
2456558.67771 R 18.3913 0.0282
2456558.71122 R 18.3877 0.0431
2456559.63687 R 18.4259 0.0336
2456559.66939 R 18.4177 0.0339
2456559.66939 R 18.4542 0.0291
2456559.70156 R 18.4062 0.0369
2456560.6184 R 18.4837 0.0335
2456560.6522 R 18.4352 0.0315
2456560.6522 R 18.4568 0.0283
2456560.70954 R 18.4366 0.032
2456564.63373 R 18.5143 0.0358
2456566.61964 R 18.5575 0.0373
2456566.65315 R 18.525 0.0359
2456566.65315 R 18.4799 0.0299
2456566.68738 R 18.5109 0.0369
2456568.63203 R 18.4932 0.0433
2456568.67549 R 18.5331 0.03
2456568.7262 R 18.6719 0.0348
2456571.62557 R 18.592 0.0579
2456571.66889 R 18.4643 0.0615
2456571.66889 R 18.5627 0.0393
2456571.70384 R 18.5697 0.0721
2456573.62314 R 18.6145 0.0422
2456573.6852 R 18.7144 0.0458
2456573.72707 R 18.628 0.0436
2456577.60958 R 18.7878 0.0581
2456577.64477 R 18.7792 0.0724
