No data from PTF
 
2456561.63663 R 17.7125 0.0211
2456561.67265 R 17.7076 0.0175
2456561.67265 R 17.7368 0.0174
2456561.75186 R 17.7412 0.0187
2456563.62567 R 17.3826 0.0165
2456563.6588 R 17.3486 0.014
2456563.6588 R 17.3637 0.0148
2456563.71024 R 17.3472 0.0139
2456564.6139 R 17.2183 0.0159
2456564.64737 R 17.2403 0.0132
2456564.64737 R 17.252 0.0137
2456564.78872 R 17.217 0.0121
2456565.69404 R 17.1614 0.0123
2456565.7285 R 17.1357 0.0116
2456565.7285 R 17.1192 0.0118
2456565.76126 R 17.1327 0.0113
2456566.66292 R 17.059 0.0118
2456566.69652 R 17.0572 0.0102
2456566.69652 R 17.0534 0.0113
2456566.73241 R 17.0435 0.0104
2456567.63437 R 17.0253 0.0105
2456567.6786 R 16.9861 0.0099
2456567.6786 R 17.0222 0.0109
2456567.71181 R 17.0131 0.0096
2456568.61361 R 16.9355 0.0108
2456568.66446 R 16.9673 0.0086
2456568.70257 R 16.992 0.0086
2456569.75447 R 16.9384 0.0097
2456569.8175 R 16.9188 0.011
2456569.8175 R 16.9348 0.0111
2456569.86144 R 16.9158 0.0129
2456570.76354 R 16.8445 0.018
2456570.79623 R 16.8577 0.0144
2456570.79623 R 16.8653 0.0196
2456570.85067 R 16.8995 0.0195
2456571.75263 R 16.8622 0.0148
2456571.79633 R 16.883 0.0128
2456571.79633 R 16.9041 0.0141
2456571.82897 R 16.8567 0.0189
2456572.73073 R 16.8256 0.0162
2456572.77612 R 16.9276 0.016
2456572.77612 R 16.8969 0.0125
2456573.71185 R 16.8951 0.0086
2456573.75314 R 16.858 0.0086
2456573.78998 R 16.9042 0.0093
2456587.66372 R 17.6057 0.0213
2456587.70163 R 17.5524 0.0173
2456587.70163 R 17.4894 0.0199
2456587.72931 R 17.5757 0.0216
2456588.63135 R 17.6009 0.026
2456588.69556 R 17.6171 0.0219
2456588.69556 R 17.5989 0.0283
2456588.72924 R 17.5383 0.0321
2456589.63084 R 17.6225 0.0164
2456589.65669 R 17.6181 0.0156
2456589.65669 R 17.6013 0.0153
2456589.70843 R 17.5904 0.0169
2456590.60498 R 17.6261 0.0166
2456590.63235 R 17.6441 0.0165
2456590.63235 R 17.6395 0.0157
2456590.6735 R 17.6631 0.0165
2456591.62571 R 17.6728 0.0271
2456591.65098 R 17.6652 0.0272
2456593.62932 R 17.6595 0.0177
2456593.65443 R 17.6837 0.018
2456593.65443 R 17.6972 0.0164
2456593.67902 R 17.6926 0.0176
2456596.6669 R 17.7298 0.02
2456596.69817 R 17.7015 0.0203
2456596.69817 R 17.677 0.0179
2456596.72789 R 17.6613 0.0222
2456597.64275 R 17.7698 0.0214
2456597.70395 R 17.7931 0.0207
2456597.70395 R 17.7144 0.0284
2456597.73684 R 17.8008 0.0257
2456598.63848 R 17.732 0.0215
2456598.66903 R 17.7206 0.0187
2456598.66903 R 17.6971 0.022
2456598.70638 R 17.7318 0.0225
2456599.60347 R 17.7605 0.0216
2456599.62918 R 17.7677 0.0204
2456599.62918 R 17.7618 0.0183
2456599.66909 R 17.7764 0.0214
2456600.58975 R 17.8169 0.0226
2456600.63943 R 17.788 0.0214
2456600.63943 R 17.777 0.019
2456600.79201 R 17.7717 0.0254
2456602.61404 R 17.8577 0.0279
2456602.66022 R 17.8476 0.0265
2456602.68564 R 17.8769 0.0292
2456603.588 R 17.9479 0.0302
2456603.61549 R 17.8781 0.0236
2456603.61549 R 17.8956 0.0223
2456603.6644 R 17.8708 0.0349
2456605.60769 R 18.0054 0.0271
2456605.632 R 18.0166 0.0266
2456605.632 R 18.0019 0.0217
2456605.65654 R 17.9793 0.0262
2456611.58052 R 18.2673 0.0768
2456611.60512 R 18.3695 0.0447
2456611.60512 R 18.3154 0.0563
2456611.63053 R 18.5045 0.066
