No data from PTF
 
2456563.70272 R 20.9288 0.2161
2456564.65784 R 20.6963 0.1977
2456565.66584 R 20.2003 0.1518
2456565.70449 R 20.2916 0.1155
2456565.70449 R 20.6289 0.1602
2456565.73794 R 20.1239 0.1424
2456566.63429 R 19.8311 0.1099
2456566.66894 R 19.9501 0.0881
2456566.66894 R 19.8226 0.114
2456566.7109 R 20.0502 0.1181
2456567.63663 R 19.8301 0.1108
2456567.67153 R 19.5428 0.0873
2456567.67153 R 19.5394 0.0628
2456567.70471 R 19.4539 0.0786
2456568.61926 R 19.3425 0.0892
2456568.65397 R 19.576 0.1479
2456568.68736 R 19.413 0.0725
2456569.76766 R 19.216 0.0685
2456569.80031 R 19.2357 0.0553
2456569.80031 R 19.1772 0.1008
2456569.8339 R 19.3356 0.0813
2456570.7355 R 19.1643 0.0732
2456570.77618 R 19.2153 0.1469
2456570.81269 R 18.9321 0.0914
2456571.71449 R 18.9592 0.0827
2456571.7515 R 18.849 0.1034
2456571.79051 R 18.8782 0.0605
2456572.69183 R 18.841 0.0599
2456572.7249 R 18.7909 0.0414
2456572.7249 R 18.7598 0.0489
2456572.76204 R 18.8202 0.0691
2456573.66454 R 18.6518 0.0481
2456573.70343 R 18.6298 0.0411
2456573.7361 R 18.6958 0.0408
2456574.63149 R 18.7686 0.0532
2456574.66407 R 18.6865 0.0464
