No data from PTF
 
2456561.68434 R 20.5872 0.1534
2456561.68434 R 21.0501 0.1563
2456561.73973 R 21.1351 0.1768
2456563.64433 R 20.5734 0.1797
2456563.67788 R 20.8177 0.1485
2456563.7153 R 20.5711 0.147
2456564.76579 R 20.8097 0.1362
2456564.79907 R 20.5657 0.1352
2456565.73543 R 20.5998 0.1371
2456565.73543 R 20.2007 0.1986
2456565.76829 R 20.347 0.123
2456566.67006 R 20.7354 0.176
2456566.70381 R 20.1915 0.159
2456566.70381 R 20.7479 0.1316
2456566.73843 R 20.5574 0.1519
2456567.67265 R 20.6866 0.1555
2456567.67265 R 20.6728 0.1584
2456568.6622 R 20.8712 0.1678
2456568.69574 R 20.7432 0.1883
2456569.84007 R 20.2758 0.17
2456572.72376 R 20.7258 0.1655
2456572.72376 R 20.8146 0.154
