No data from PTF
 
2456566.80157 R 20.3157 0.1603
2456567.80271 R 20.5616 0.1397
2456568.62039 R 20.2574 0.2037
2456568.67706 R 20.1706 0.1255
2456568.72924 R 20.2321 0.1105
2456569.77601 R 19.8957 0.1438
2456570.65748 R 19.6501 0.1314
2456570.69074 R 19.6783 0.1749
2456571.61073 R 19.8403 0.1927
2456571.64358 R 19.63 0.1104
2456571.64358 R 19.3414 0.1569
2456571.6823 R 19.7011 0.1676
2456572.61635 R 19.6865 0.1082
2456572.65017 R 19.6436 0.0915
2456572.68354 R 19.425 0.1355
2456573.61525 R 19.5715 0.106
2456573.64889 R 19.482 0.1076
2456573.76969 R 19.4228 0.0664
2456587.65003 R 19.6886 0.1027
2456587.77751 R 19.3788 0.1071
2456587.77751 R 19.433 0.0674
2456587.80249 R 19.2619 0.1097
2456588.70424 R 19.7768 0.1718
2456589.60238 R 19.4439 0.0737
2456589.62733 R 19.5451 0.0728
2456589.62733 R 19.5011 0.0638
2456589.7848 R 19.499 0.0899
2456590.68661 R 19.5851 0.0798
2456591.60889 R 19.566 0.0844
2456591.72215 R 19.3452 0.1306
2456591.75399 R 19.0139 0.1819
2456593.6023 R 19.6967 0.1209
2456593.63697 R 19.7681 0.0805
2456593.63697 R 19.9036 0.1203
2456593.66147 R 19.9019 0.1156
2456596.65485 R 19.8028 0.1028
2456596.80291 R 19.5008 0.1814
2456596.82874 R 19.5776 0.1963
2456598.58997 R 20.2158 0.176
2456598.61454 R 20.131 0.1235
2456598.61454 R 20.1208 0.1512
2456598.64456 R 19.9881 0.1349
2456599.59414 R 20.0928 0.1469
2456599.62645 R 19.6786 0.1318
2456599.62645 R 19.9448 0.0973
2456599.77964 R 19.9568 0.1503
2456600.6886 R 19.6809 0.1259
2456603.66183 R 20.0573 0.1826
2456603.7369 R 20.2485 0.1187
2456603.7369 R 20.2197 0.1646
2456603.79779 R 20.4429 0.168
2456605.62274 R 19.9158 0.1542
2456605.64748 R 20.1199 0.135
2456605.64748 R 20.0357 0.0934
2456605.67229 R 20.0334 0.123
