No data from PTF
 
2456602.63035 R 20.1088 0.2143
2456602.74389 R 19.7818 0.178
2456603.64587 R 19.6276 0.1082
2456603.73214 R 19.6606 0.0819
2456603.73214 R 19.5 0.1
2456603.75994 R 19.7096 0.1058
2456605.62617 R 19.1042 0.0815
2456605.6509 R 19.2207 0.0687
2456605.6509 R 19.2394 0.0492
2456605.67572 R 19.3276 0.0661
2456606.60334 R 19.1508 0.1288
2456606.63647 R 19.0961 0.1186
2456606.63647 R 19.0799 0.1327
2456607.64183 R 19.2393 0.0796
2456607.78809 R 19.2641 0.059
2456607.78809 R 19.2617 0.1006
2456607.81337 R 19.2917 0.1037
