No data from PTF
 
2456603.76346 R 20.0228 0.1951
2456603.79642 R 19.3525 0.1182
2456603.82153 R 19.7017 0.0934
2456604.79407 R 19.4638 0.078
2456604.91344 R 19.3919 0.054
2456604.91344 R 19.4229 0.076
2456604.93875 R 19.4905 0.0877
2456605.84023 R 19.3627 0.0593
2456605.88226 R 19.284 0.0757
2456605.88226 R 19.3221 0.0547
2456605.90941 R 19.3513 0.1002
2456607.66633 R 19.1898 0.0875
2456607.80119 R 19.1746 0.0544
2456607.80119 R 19.1665 0.0701
2456607.82792 R 19.1329 0.0643
2456608.73039 R 19.2907 0.1111
2456608.76267 R 18.9349 0.1019
2456608.76267 R 19.1901 0.0644
2456608.79288 R 19.2202 0.0833
2456609.69416 R 18.2595 0.1037
2456609.84197 R 19.1051 0.0756
