No data from PTF
 
2456627.81951 R 19.6469 0.1433
2456627.82065 R 19.8668 0.1252
2456627.86178 R 19.411 0.0871
2456627.86293 R 19.6272 0.0905
2456627.934995 R 19.7765 0.1123
2456627.935 R 19.9214 0.1269
2456628.80167 R 19.5551 0.2007
2456628.84139 R 19.3917 0.1151
2456628.84468 R 19.1757 0.1058
2456628.88351 R 19.5802 0.1141
2456628.88814 R 19.4486 0.1134
2456628.92539 R 19.6821 0.1066
2456628.93041 R 19.6985 0.1
2456628.96821 R 19.6856 0.1039
2456629.01286 R 19.7493 0.1138
2456629.014 R 19.1118 0.1032
2456663.83417 R 21.5213 0.1257
2456664.85933 R 21.0286 0.2005
2456664.88122 R 21.3701 0.1029
2456665.90392 R 21.6121 0.1868
