No data from PTF
 
2456340.94794 R 19.7255 0.1038
2456340.98388 R 19.7791 0.0812
2456340.98388 R 20.1863 0.143
2456341.01696 R 19.58 0.1027
2456341.97837 R 19.356 0.0802
2456342.01017 R 19.318 0.073
2456342.03999 R 19.4298 0.0637
2456354.89323 R 16.8481 0.0233
2456354.92325 R 16.8792 0.0178
2456354.92325 R 16.8197 0.0162
2456354.9528 R 16.758 0.0263
2456362.77557 R 16.9252 0.0104
2456362.80542 R 16.9265 0.0106
2456362.80542 R 16.9513 0.0106
2456362.83499 R 16.902 0.0095
2456363.81439 R 16.947 0.0094
2456363.91564 R 16.9568 0.0106
2456363.91564 R 16.9429 0.0094
2456363.94516 R 16.9634 0.01
2456367.90927 R 17.2098 0.0336
2456367.93852 R 17.2176 0.0435
2456367.93852 R 17.2067 0.064
2456368.91139 R 17.2902 0.0122
2456369.81384 R 17.3087 0.0121
2456369.84317 R 17.3113 0.0113
2456369.84317 R 17.3264 0.0127
2456369.87637 R 17.3802 0.0138
2456370.95169 R 17.4426 0.0162
2456371.00091 R 17.3514 0.0483
2456371.03009 R 17.5101 0.0308
2456372.86765 R 17.3001 0.1058
2456372.89705 R 17.5218 0.0479
2456372.89705 R 17.5033 0.0384
2456372.93291 R 17.4736 0.0517
2456373.95948 R 17.5596 0.015
2456373.989 R 17.526 0.0162
2456374.03843 R 17.5926 0.0495
2456375.72325 R 17.5947 0.0439
2456375.75315 R 17.5711 0.026
2456375.75315 R 17.5601 0.0383
2456375.78316 R 17.5934 0.0339
2456376.72831 R 17.5483 0.0375
2456376.75796 R 17.5456 0.0256
2456376.75796 R 17.6042 0.0355
2456376.78772 R 17.5941 0.0356
2456382.73418 R 17.6727 0.0209
2456382.78066 R 17.724 0.0233
2456382.78066 R 17.703 0.0192
2456382.81084 R 17.6891 0.0262
2456385.78285 R 17.7635 0.0215
2456385.81757 R 17.7876 0.0191
2456385.81757 R 17.7344 0.0178
2456385.84766 R 17.7365 0.0192
2456386.82904 R 17.7542 0.0155
2456386.85858 R 17.7963 0.0184
2456386.85858 R 17.7927 0.0158
2456386.88843 R 17.8566 0.0708
2456387.85606 R 17.8164 0.0185
2456387.89561 R 17.7964 0.0173
2456387.89561 R 17.8456 0.0184
2456387.92503 R 17.7796 0.0184
2456389.84741 R 17.9382 0.0219
2456389.87706 R 17.9429 0.0195
2456389.87706 R 17.9367 0.021
2456389.90684 R 17.9439 0.0235
2456390.87657 R 17.9871 0.0249
2456390.90556 R 17.9505 0.031
2456390.90556 R 17.9582 0.0226
2456390.93719 R 17.9868 0.031
2456392.78231 R 18.0409 0.0316
2456392.81197 R 18.019 0.0225
2456392.81197 R 17.9718 0.0281
2456392.84222 R 18.0352 0.0295
2456394.69907 R 17.7163 0.1091
2456394.69907 R 17.8463 0.1243
2456394.72895 R 18.7715 0.1745
2456395.83234 R 18.2297 0.0233
2456395.86204 R 18.2611 0.0238
2456396.66063 R 18.2911 0.0384
2456403.74237 R 18.6186 0.0638
2456403.78446 R 18.3575 0.0476
2456403.78446 R 18.3496 0.0729
2456403.81425 R 18.2846 0.0706
2456404.747 R 18.381 0.0773
2456404.77672 R 18.5997 0.0752
2456404.80632 R 18.7484 0.0768
2456405.75632 R 18.5628 0.1365
2456405.79969 R 18.527 0.0719
2456405.79969 R 18.5692 0.0946
2456405.82985 R 18.3448 0.1094
2456412.66266 R 18.9813 0.064
2456412.69215 R 18.9144 0.0401
2456412.69215 R 18.9157 0.048
2456412.7273 R 18.908 0.0528
2456413.66203 R 18.8362 0.0493
2456413.69118 R 18.9202 0.0391
2456413.69118 R 18.9427 0.0529
2456413.72035 R 18.9933 0.0666
2456414.82943 R 18.9422 0.0705
2456415.6594 R 18.9214 0.0969
2456416.92314 R 18.7417 0.0805
2456417.66164 R 19.0825 0.0618
2456417.90291 R 18.9602 0.0657
2456423.71814 R 19.2798 0.0954
2456424.71108 R 19.2418 0.0595
2456424.89722 R 19.2546 0.082
