No data from PTF
 
2456362.79007 R 19.5683 0.1205
2456362.8499 R 20.1877 0.1617
2456363.81553 R 19.922 0.1042
2456363.84521 R 20.1101 0.0846
2456363.84521 R 20.0313 0.135
2456363.87417 R 20.2446 0.1268
2456366.76247 R 19.7434 0.0962
2456366.77363 R 20.013 0.118
2456366.78498 R 19.931 0.0898
2456366.79615 R 20.026 0.1074
2456367.76002 R 20.3202 0.2117
2456367.78916 R 20.0502 0.1225
2456367.78916 R 19.7903 0.148
2456367.81852 R 20.1338 0.1762
2456368.82466 R 19.719 0.1097
2456368.85493 R 19.7304 0.1138
2456368.85493 R 19.7007 0.0793
2456368.88527 R 20.0426 0.0946
2456369.80815 R 19.8501 0.13
2456369.83721 R 19.7923 0.0885
2456369.83721 R 19.763 0.0675
2456369.86704 R 19.6028 0.0987
2456370.95396 R 19.9201 0.1196
2456370.98337 R 19.7876 0.1979
2456373.96062 R 19.9118 0.1284
2456373.99015 R 20.2513 0.1412
2456375.94075 R 20.4393 0.1373
2456382.73534 R 20.3279 0.1838
2456382.77132 R 20.5221 0.1903
2456382.77132 R 20.358 0.1722
2456385.74773 R 20.645 0.1781
2456385.74773 R 20.6019 0.1207
2456386.75993 R 20.7992 0.1397
2456386.75993 R 20.7224 0.1426
2456386.79034 R 21.0014 0.1694
2456387.88745 R 20.7258 0.1479
2456387.88745 R 20.5638 0.1731
2456387.91692 R 20.8828 0.2136
2456389.85197 R 20.6341 0.1404
2456389.88161 R 20.8457 0.1335
2456392.80846 R 21.0997 0.1535
2456395.77601 R 21.3772 0.1745
2456395.77601 R 20.9197 0.1818
2456396.81419 R 20.742 0.1911
