No data from PTF
 
2456737.74037 R 20.5187 0.1952
2456738.93853 R 19.8505 0.1796
2456739.01105 R 20.1994 0.1498
2456739.91242 R 19.6814 0.162
2456739.98292 R 20.0679 0.1664
2456740.92222 R 19.5374 0.2075
2456741.91994 R 19.6271 0.0731
2456741.95459 R 19.8641 0.0947
2456745.88487 R 19.4946 0.0726
2456745.91929 R 19.1966 0.0694
2456748.00103 R 19.5189 0.0746
2456752.87912 R 19.1511 0.063
2456752.91181 R 19.2592 0.0585
2456753.9783 R 19.3736 0.0766
2456753.995625 R 19.3261 0.0376
2456754.01295 R 19.2652 0.083
2456754.9144 R 19.4275 0.074
2456754.94712 R 19.4546 0.1016
2456755.8578 R 19.3008 0.1036
2456755.89115 R 19.3987 0.0707
2456756.86757 R 19.3386 0.1042
2456756.88448 R 19.3272 0.0497
2456756.90139 R 19.1384 0.1433
2456757.85144 R 19.142 0.1822
2456757.88441 R 19.3752 0.1166
2456759.83354 R 19.2277 0.1538
2456759.86672 R 19.5112 0.1351
2456760.368945 R 19.3102 0.0992
2456760.90459 R 19.615 0.1841
2456761.87103 R 19.47 0.1908
2456762.82374 R 19.4182 0.1058
2456762.84011 R 19.3614 0.0725
2456762.85648 R 19.4143 0.0846
2456763.83763 R 18.9657 0.1698
2456763.87104 R 19.3217 0.1489
2456764.83877 R 19.0839 0.1511
2456764.87676 R 19.1096 0.1365
2456765.89512 R 19.3766 0.0832
2456766.91348 R 19.4854 0.1155
2456766.94698 R 19.4403 0.1188
2456769.81801 R 19.0912 0.199
2456769.85645 R 19.7091 0.2163
2456771.85325 R 19.6196 0.0812
2456772.87598 R 19.6172 0.0841
2456772.87598 R 19.6669 0.1328
2456772.90935 R 19.3759 0.19
2456775.92984 R 19.7203 0.1133
2456775.96337 R 20.0744 0.1706
2456776.92428 R 19.7085 0.1643
2456777.92793 R 19.7611 0.089
2456778.87541 R 19.789 0.178
2456779.86788 R 20.0133 0.114
2456779.90116 R 19.4071 0.1105
2456780.84213 R 19.7857 0.0868
2456780.86654 R 19.7924 0.0545
2456780.89095 R 19.8937 0.1146
2456781.84078 R 20.0011 0.1282
2456781.92293 R 19.9294 0.1196
2456782.88544 R 19.8465 0.1013
2456782.93417 R 19.9109 0.1241
2456786.81035 R 19.994 0.2129
2456786.84399 R 19.8528 0.1594
2456787.322045 R 19.8861 0.0827
2456787.8001 R 19.7352 0.1251
2456787.83366 R 19.9095 0.1404
2456789.76742 R 19.9469 0.1784
2456790.2518 R 20.2741 0.15
2456792.253175 R 20.1482 0.2147
2456796.79719 R 20.2977 0.1925
2456797.80238 R 19.7973 0.1483
2456797.89553 R 19.6275 0.2044
2456802.75193 R 20.3561 0.1644
2456802.7874 R 20.3559 0.1321
2456803.74843 R 20.3898 0.129
2456803.78378 R 20.1487 0.1172
2456804.74898 R 20.6226 0.163
2456804.76651 R 20.3409 0.0791
2456804.78404 R 20.1313 0.1067
