No data from PTF
 
2456739.90898 R 20.5355 0.1591
2456741.9131 R 20.6014 0.1264
2456741.94553 R 20.5382 0.1327
2456745.88256 R 20.0861 0.122
2456745.9158 R 20.5043 0.1282
2456752.87681 R 19.7947 0.1178
2456752.9095 R 19.9296 0.1195
2456753.83367 R 19.9875 0.0709
2456754.75784 R 20.5093 0.2126
2456754.79042 R 20.0979 0.1368
2456755.74674 R 20.389 0.1559
2456755.79204 R 20.0332 0.1446
2456756.8664 R 20.1764 0.1339
2456756.882725 R 20.3316 0.0864
2456760.36951 R 20.3848 0.1695
2456762.82145 R 20.4473 0.2
2456762.837815 R 20.1499 0.1377
2456762.85418 R 20.2945 0.1733
2456765.895105 R 19.8102 0.1545
2456766.91693 R 19.4867 0.1765
2456771.81672 R 20.8911 0.1762
2456771.84983 R 20.778 0.1884
2456772.38187 R 21.0234 0.1398
2456780.814225 R 21.5327 0.1552
2456787.315145 R 21.1047 0.1722
