No data from PTF
 
2456757.92287 R 19.9536 0.1405
2456757.95537 R 19.8593 0.1632
2456759.90078 R 18.8966 0.0965
2456759.93516 R 18.8299 0.1029
2456764.75376 R 17.7621 0.1091
2456764.7876 R 18.022 0.0862
2456765.767945 R 18.1063 0.0781
2456766.74829 R 18.0641 0.0716
2456767.92475 R 18.1694 0.0502
2456768.8331 R 18.2418 0.0372
2456768.93331 R 18.2914 0.0424
2456768.93331 R 18.262 0.0298
2456769.83506 R 18.4638 0.1064
2456769.86862 R 18.2667 0.0593
2456771.73503 R 18.4838 0.0472
2456771.76845 R 18.5345 0.0977
2456772.25011 R 18.5887 0.0376
2456772.73177 R 18.7273 0.0601
2456772.76549 R 18.691 0.0501
2456775.81558 R 19.0091 0.065
2456775.86792 R 19.099 0.064
2456776.76924 R 19.2449 0.1689
2456776.82353 R 19.2331 0.1291
2456777.2743 R 19.2795 0.0793
2456777.72507 R 19.3815 0.1621
2456777.91141 R 19.5587 0.21
2456778.81738 R 19.6063 0.1321
2456778.84994 R 19.513 0.122
2456779.79837 R 19.5961 0.1018
2456779.79954 R 19.6257 0.072
2456779.79954 R 19.6285 0.0889
2456779.83049 R 19.6462 0.0997
2456780.86463 R 19.6264 0.1089
2456780.86581 R 19.5944 0.102
2456780.86581 R 19.2586 0.0914
2456781.8938 R 19.5544 0.1328
2456781.89498 R 19.8872 0.1261
2456781.89498 R 19.8507 0.0991
2456781.93685 R 20.1086 0.2164
2456782.90802 R 20.185 0.1722
2456782.90919 R 19.6129 0.187
2456782.90919 R 19.837 0.1266
2456782.94845 R 20.2065 0.1602
2456786.8558 R 20.3281 0.2041
2456786.89407 R 20.4936 0.1931
2456787.84539 R 20.3607 0.1828
