No data from PTF
 
2456764.66102 R 20.6466 0.1681
2456765.74849 R 20.0175 0.149
2456766.74081 R 20.151 0.2077
2456767.84816 R 19.9833 0.1718
2456768.77743 R 19.8184 0.0901
2456769.231515 R 19.7629 0.0783
2456769.6856 R 19.5999 0.1102
2456770.67069 R 19.6984 0.086
2456771.66655 R 19.3922 0.0864
2456771.74852 R 19.4735 0.0548
2456771.74852 R 19.44 0.0785
2456772.70455 R 19.5066 0.0905
2456772.77532 R 19.5752 0.1104
2456775.84208 R 19.5355 0.1026
2456775.88752 R 19.3954 0.0912
2456776.78933 R 19.2812 0.0947
2456776.85062 R 19.343 0.1059
2456777.75281 R 19.4136 0.0566
2456777.75281 R 19.5346 0.0828
2456777.91727 R 19.3504 0.1755
2456778.82324 R 19.3537 0.0847
2456778.85584 R 19.4543 0.107
2456779.75725 R 19.2539 0.0667
2456779.79223 R 19.3803 0.0651
2456780.72231 R 19.4064 0.0721
2456780.73708 R 19.3553 0.0387
2456780.75185 R 19.275 0.0675
2456781.72187 R 19.3456 0.067
2456781.75106 R 19.5357 0.0737
2456782.75513 R 19.3652 0.0934
2456782.78997 R 19.3838 0.0928
2456782.78997 R 19.3422 0.062
2456783.7223 R 19.4928 0.1116
2456786.79649 R 19.3027 0.1653
2456786.83008 R 19.138 0.1846
2456787.30818 R 19.1127 0.0992
2456787.78628 R 19.3956 0.1575
2456787.8198 R 19.215 0.1706
2456789.66279 R 19.2554 0.2046
2456789.69591 R 19.7683 0.2049
2456790.183995 R 19.4158 0.1262
2456790.69978 R 19.3783 0.1686
2456792.67159 R 19.5054 0.2004
2456792.70191 R 19.5326 0.1361
2456794.7177 R 19.3809 0.1838
2456795.22634 R 19.4032 0.1149
2456795.70337 R 19.7213 0.0992
2456797.67499 R 19.78 0.1047
2456797.70858 R 19.9245 0.1199
2456802.68137 R 19.9704 0.1475
2456802.713 R 19.6692 0.1363
2456803.67829 R 19.9924 0.1435
2456803.70986 R 20.3105 0.1173
2456804.6792 R 20.0554 0.1287
2456804.694835 R 20.0254 0.0684
2456804.71047 R 20.0463 0.1452
2456805.67873 R 19.8726 0.1443
2456805.71012 R 20.0817 0.1507
