No data from PTF
 
2456786.94875 R 19.4249 0.0809
2456786.97674 R 19.3161 0.0703
2456787.466045 R 19.4368 0.0481
2456787.95535 R 19.4976 0.0769
2456787.98492 R 19.4835 0.0996
2456789.79219 R 18.9852 0.1635
2456789.8249 R 19.341 0.1112
2456790.34686 R 19.277 0.0805
2456790.86882 R 19.3801 0.1469
2456790.90497 R 19.2503 0.1664
2456791.88045 R 19.1445 0.1878
2456791.92062 R 19.6169 0.1523
2456792.887335 R 19.0996 0.1094
2456793.97729 R 18.9497 0.2034
2456794.9774 R 19.235 0.1774
2456795.92656 R 19.2688 0.1229
2456796.9486 R 19.3429 0.1352
2456796.98683 R 19.3019 0.1023
2456801.93462 R 19.6441 0.1571
2456802.428695 R 19.426 0.0737
2456802.88894 R 19.5506 0.0798
2456802.9235 R 19.4615 0.0749
2456803.90013 R 19.6489 0.0844
2456803.94578 R 19.5823 0.076
2456804.41461 R 19.6217 0.0539
2456804.88344 R 19.616 0.0701
2456804.91743 R 19.631 0.0788
2456817.84348 R 19.7642 0.1093
2456817.88159 R 19.6115 0.0963
2456818.82831 R 19.5679 0.0994
2456818.85925 R 19.58 0.0985
2456819.79666 R 19.4688 0.1761
2456819.82267 R 19.6722 0.1781
2456820.78709 R 19.2291 0.1737
2456820.81282 R 19.3093 0.1684
2456821.78692 R 19.3814 0.1798
2456821.81251 R 19.4858 0.1381
2456822.78779 R 19.5801 0.1464
2456822.80059 R 19.5027 0.0932
2456822.81339 R 19.7548 0.1802
2456823.867355 R 19.3926 0.0808
2456823.88117 R 19.2694 0.1631
2456824.87731 R 19.7007 0.1496
2456824.891585 R 19.5743 0.0609
2456824.90586 R 19.1392 0.1111
2456825.86322 R 19.5998 0.0956
2456825.876035 R 19.5527 0.0515
2456825.88885 R 19.4165 0.0967
2456826.86682 R 19.5695 0.104
2456826.87963 R 19.5646 0.0529
2456826.89244 R 19.4506 0.1317
2456827.85699 R 19.462 0.0994
2456827.869755 R 19.5111 0.0584
2456827.88252 R 19.318 0.1231
2456828.90602 R 19.6138 0.0978
2456828.919835 R 19.5786 0.0568
2456828.93365 R 19.7095 0.0985
2456829.83981 R 19.562 0.0797
2456829.85363 R 19.674 0.0468
2456829.86745 R 19.8065 0.0916
2456830.85234 R 19.7632 0.0926
2456830.869005 R 19.659 0.0461
2456830.88567 R 19.6613 0.0748
2456831.90106 R 19.6358 0.0849
2456831.93039 R 19.6539 0.1137
2456832.81578 R 19.568 0.0699
2456832.86429 R 19.7157 0.0923
2456833.34474 R 19.6338 0.0575
2456833.82519 R 19.6705 0.0983
2456833.85277 R 19.7786 0.0843
2456834.33705 R 19.7425 0.0528
2456834.82133 R 19.7863 0.0758
2456834.84963 R 19.8192 0.0761
2456835.81912 R 19.8605 0.1436
2456835.83072 R 19.7496 0.0566
2456835.84707 R 19.8571 0.1144
2456836.81181 R 19.7722 0.0826
2456836.8395 R 19.4127 0.0971
2456837.320475 R 19.763 0.0537
2456837.80145 R 19.9195 0.0881
2456837.82693 R 19.7121 0.0935
2456838.75325 R 19.7947 0.0801
2456838.767835 R 19.7662 0.0467
2456838.78242 R 19.7698 0.0786
2456839.75374 R 19.7482 0.0853
2456839.76831 R 19.8013 0.0474
2456839.78288 R 19.6803 0.0767
2456840.74391 R 19.9966 0.1047
2456840.757385 R 19.8008 0.0482
2456840.77086 R 19.8382 0.0968
2456841.69957 R 19.7387 0.1071
2456841.71523 R 19.8401 0.059
2456841.73089 R 19.7492 0.1207
2456842.69965 R 19.8044 0.0943
2456842.731 R 19.8188 0.0876
