No data from PTF
 
2456789.93127 R 18.8791 0.1311
2456789.96419 R 19.2248 0.1241
2456790.439425 R 18.9555 0.075
2456790.91466 R 18.9674 0.1483
2456790.95082 R 18.5862 0.1404
2456791.95067 R 18.5067 0.1368
2456791.98315 R 18.4347 0.1299
2456792.45199 R 18.6215 0.0726
2456792.92083 R 18.639 0.1316
2456792.95493 R 18.7338 0.1304
2456801.98495 R 18.3275 0.1037
2456802.9403 R 18.5685 0.0469
2456803.96238 R 18.7011 0.0513
2456804.93395 R 18.7627 0.0382
2456804.93395 R 18.7883 0.0512
2456804.96785 R 18.6777 0.0517
2456814.95911 R 19.3477 0.0709
2456815.91738 R 19.259 0.0825
2456815.97275 R 19.3023 0.0846
2456816.85274 R 19.4731 0.1131
2456816.8794 R 19.3537 0.0892
2456817.90396 R 19.5522 0.0905
2456817.93215 R 19.3469 0.0959
2456818.89021 R 19.1773 0.1041
2456818.92066 R 19.4744 0.1062
2456819.84178 R 19.1727 0.1607
2456819.86186 R 19.4482 0.1996
2456820.83192 R 18.9008 0.1586
2456820.85166 R 19.3828 0.1874
2456821.83132 R 19.4536 0.1665
2456821.85102 R 19.6518 0.1729
2456822.83216 R 19.5846 0.1255
2456822.842205 R 19.4342 0.0707
2456822.85225 R 19.3329 0.1329
2456823.90181 R 19.267 0.191
2456823.911665 R 19.3949 0.0784
2456823.92152 R 19.1835 0.1802
2456824.92458 R 19.5377 0.1428
2456824.934995 R 19.0214 0.0767
2456824.94541 R 19.1326 0.1462
2456825.90762 R 19.2002 0.1249
2456825.91745 R 19.181 0.0744
2456825.92728 R 19.3642 0.1345
2456826.91117 R 19.3093 0.1267
2456826.921055 R 19.2271 0.0722
2456826.93094 R 19.364 0.1275
2456827.90119 R 19.3174 0.1146
2456827.911015 R 19.3235 0.074
2456827.92084 R 19.2418 0.1139
2456828.95449 R 19.1445 0.1003
2456828.9689 R 19.466 0.0659
2456828.98331 R 19.6083 0.2156
2456829.88822 R 19.8641 0.1228
2456829.90026 R 19.6787 0.0689
2456829.9123 R 19.717 0.1338
2456830.90632 R 19.8025 0.0999
2456830.93034 R 19.6857 0.1099
