No data from PTF
 
2456789.93244 R 18.4842 0.0546
2456789.96535 R 18.6592 0.0542
2456790.45157 R 18.634 0.0381
2456790.93779 R 18.7199 0.0816
2456790.97427 R 18.6931 0.0711
2456791.97381 R 18.716 0.108
2456792.93646 R 18.6546 0.0926
2456792.93646 R 18.702 0.0634
2456792.97248 R 18.7172 0.078
2456802.95568 R 19.312 0.0626
2456803.97763 R 19.3116 0.0753
2456804.94919 R 19.3118 0.0647
2456804.94919 R 19.2545 0.0654
2456804.98297 R 19.3428 0.1014
2456814.96597 R 19.6951 0.0824
2456815.93648 R 19.7086 0.0714
2456815.98095 R 19.3186 0.1259
2456816.85971 R 19.952 0.1479
2456816.88639 R 19.8851 0.0919
2456817.91682 R 19.831 0.1109
2456818.90403 R 20.1045 0.213
2456818.93455 R 19.6574 0.1436
2456819.93519 R 19.6618 0.1479
2456819.97222 R 20.2462 0.1914
2456822.937235 R 20.3603 0.1253
2456824.96858 R 20.0032 0.1376
2456825.94582 R 20.3773 0.1365
2456825.94582 R 20.3039 0.1472
2456825.96994 R 20.3816 0.1542
2456826.45976 R 20.4294 0.1289
2456826.961445 R 20.386 0.0983
2456826.97331 R 20.153 0.1484
2456827.93925 R 20.6166 0.1575
2456827.93925 R 20.3265 0.1416
2456827.96118 R 20.1587 0.208
2456828.97064 R 20.3723 0.1297
2456828.97064 R 20.0217 0.1913
2456829.90197 R 20.7313 0.204
2456829.92605 R 20.3842 0.1137
2456830.92003 R 20.4719 0.1419
2456830.94403 R 20.2409 0.1555
