No data from PTF
 
2456386.77308 R 20.6987 0.213
2456393.80863 R 20.2439 0.1886
2456395.66608 R 20.5756 0.1682
2456395.69741 R 21.022 0.1721
2456401.70753 R 20.4823 0.1594
2456423.74014 R 20.4673 0.1669
2456425.68536 R 20.764 0.1531
2456429.83457 R 20.8223 0.192
2456797.66543 R 20.6723 0.1871
2456797.69711 R 20.3209 0.184
2456802.66859 R 20.3122 0.1545
2456802.70372 R 20.2054 0.1063
2456803.66894 R 20.2508 0.1294
2456803.7006 R 19.9262 0.1018
2456804.66993 R 20.1877 0.1714
2456804.685605 R 20.1616 0.0741
2456804.70128 R 20.2861 0.1421
2456805.66948 R 20.2621 0.1605
2456805.70087 R 20.2339 0.1364
