No data from PTF
 
2456819.71969 R 19.1292 0.1752
2456820.68573 R 19.1359 0.1745
2456820.71111 R 19.3871 0.2003
2456821.68618 R 19.2498 0.1981
2456821.71144 R 19.057 0.1738
2456822.68705 R 19.3996 0.1233
2456822.699695 R 19.2397 0.1051
2456822.71234 R 19.2219 0.1476
2456823.75054 R 19.3102 0.0857
2456823.75054 R 19.322 0.1474
2456823.7759 R 19.4088 0.2012
2456824.77403 R 19.3188 0.1309
2456824.78798 R 19.2429 0.0587
2456824.80193 R 19.2119 0.0849
2456825.74822 R 19.1898 0.0717
2456825.76178 R 19.0973 0.044
2456825.77534 R 19.0922 0.0733
2456826.76598 R 19.0216 0.0808
2456826.778655 R 19.0012 0.0428
2456826.79133 R 18.991 0.0773
2456827.75284 R 19.0312 0.0826
2456827.76734 R 18.9792 0.0429
2456827.78184 R 18.7989 0.0785
2456828.82811 R 19.0592 0.0651
2456828.844715 R 18.9697 0.04
2456828.86132 R 19.0563 0.0779
2456829.76177 R 18.976 0.0706
2456829.77845 R 19.0392 0.0354
2456829.79513 R 18.9195 0.062
2456830.75541 R 19.0228 0.0546
2456830.77694 R 18.9811 0.0337
2456830.79847 R 19.0847 0.0562
2456831.81892 R 18.7831 0.0556
2456831.84855 R 18.8209 0.0743
2456832.7398 R 18.9373 0.0633
2456832.77066 R 18.8822 0.0555
2456833.257675 R 18.8658 0.0379
2456833.74469 R 18.8943 0.0553
2456833.77641 R 18.8359 0.0492
2456834.74382 R 18.8316 0.0317
2456834.74382 R 18.8515 0.0449
2456834.77528 R 18.9023 0.0494
2456835.74235 R 18.8462 0.0636
2456835.74235 R 18.8122 0.0313
2456835.77348 R 18.8609 0.0642
2456836.74028 R 18.8065 0.0482
2456836.76889 R 18.7753 0.034
2456836.76889 R 18.7739 0.0497
2456837.73131 R 18.9222 0.064
2456837.76091 R 18.7998 0.0589
2456838.69999 R 18.9321 0.0528
2456838.73001 R 18.7954 0.0471
2456839.21524 R 18.7727 0.0362
2456839.70047 R 18.6129 0.0529
2456839.73047 R 18.802 0.053
2456840.212285 R 18.7158 0.0387
2456840.6941 R 18.8005 0.0554
2456840.7208 R 18.736 0.059
2457221.711405 R 20.9529 0.2048
