No data from PTF
 
2456814.90301 R 18.4361 0.0251
2456814.93051 R 18.3689 0.0235
2456815.84584 R 18.2336 0.025
2456815.874 R 18.2157 0.0216
2456830.75778 R 16.9898 0.007
2456830.79181 R 16.9933 0.0079
2456831.87888 R 16.9996 0.0101
2456831.87888 R 16.9962 0.0075
2456831.90816 R 17.0033 0.008
2456832.79238 R 17.0102 0.0078
2456832.82036 R 17.0162 0.007
2456833.31116 R 17.0146 0.0087
2456833.80196 R 17.0357 0.0078
2456833.82976 R 17.0231 0.0074
2456834.79748 R 17.0304 0.0073
2456834.79748 R 17.0088 0.0079
2456834.82601 R 17.0348 0.0076
2456835.7955 R 17.0292 0.0079
2456835.7955 R 17.0486 0.0074
2456835.82374 R 17.0039 0.0118
2456836.78839 R 17.0466 0.0072
2456836.81639 R 17.0522 0.0081
2456836.81639 R 17.0461 0.0074
2456837.77811 R 17.0792 0.0074
2456837.80374 R 17.0543 0.0074
2456838.74602 R 17.0713 0.0075
2456838.77539 R 17.0671 0.0077
2456839.26094 R 17.0567 0.009
2456839.74649 R 17.0767 0.0077
2456839.77587 R 17.0651 0.0077
2456840.25633 R 17.0687 0.009
2456840.73679 R 17.0644 0.0076
2456840.750265 R 17.0692 0.0076
2456840.76374 R 17.0665 0.0072
2456841.70185 R 17.0746 0.009
2456841.71754 R 17.0724 0.0077
2456841.73323 R 17.0725 0.0087
2456842.70194 R 17.0772 0.0087
2456842.70194 R 17.0959 0.0084
2456842.73334 R 17.0736 0.0081
2456843.69709 R 17.2911 0.055
2456843.72076 R 17.0813 0.0091
2456843.72076 R 16.9903 0.0209
2456844.69619 R 17.0578 0.0111
2456844.71943 R 17.0912 0.011
2456844.71943 R 17.0833 0.01
2456845.69737 R 17.0939 0.0138
2456845.72066 R 17.1189 0.0134
2456859.69965 R 17.5776 0.0123
2456859.73953 R 17.5632 0.0121
2456878.66236 R 18.1712 0.0463
2456878.69519 R 18.0459 0.0435
