No data from PTF
 
2456864.186135 R 19.0066 0.0435
2456864.6773 R 18.8429 0.0541
2456864.69257 R 18.9122 0.0533
2456866.6761 R 18.5825 0.0447
2456866.69117 R 18.5409 0.0518
2456867.18622 R 18.5009 0.0284
2456867.68127 R 18.4807 0.039
2456867.71447 R 18.4949 0.0443
2456868.67346 R 18.5875 0.0409
2456868.68608 R 18.4319 0.0406
2456869.67169 R 17.9743 0.0384
2456869.68344 R 18.0918 0.0398
2456870.69395 R 18.1656 0.0289
2456870.72839 R 18.2539 0.033
2456871.197985 R 18.1877 0.0253
2456871.66758 R 18.1031 0.0349
2456871.68795 R 18.0458 0.1062
2456874.66701 R 18.033 0.0364
2456874.70369 R 18.0429 0.0319
2456875.184485 R 18.0292 0.0219
2456875.66528 R 17.9925 0.0364
2456875.68465 R 18.0144 0.0317
2456876.66448 R 18.0234 0.0382
2456876.69723 R 17.891 0.04
2456877.70314 R 17.9253 0.042
2456877.70314 R 17.8882 0.0244
2456877.77485 R 17.8622 0.0494
2456878.67153 R 17.9662 0.0432
2456879.69177 R 17.8309 0.0541
2456879.73253 R 17.9757 0.0535
2456880.72581 R 17.7959 0.0566
2456880.75924 R 17.9187 0.0579
2456881.66103 R 17.9137 0.0477
2456881.69568 R 17.9829 0.0524
2456882.178865 R 17.9649 0.0261
2456882.66205 R 18.0129 0.0318
2456882.69601 R 18.0144 0.0472
2456883.77775 R 17.9817 0.0394
2456883.80642 R 17.9044 0.0467
2456884.7716 R 18.0768 0.0366
2456884.79038 R 18.0749 0.0364
2456885.75844 R 18.1192 0.0322
2456885.78771 R 18.151 0.0445
