No data from PTF
 
2456889.78902 R 19.8253 0.0704
2456889.82948 R 19.735 0.0721
2456890.325005 R 19.6829 0.0525
2456890.82053 R 19.4438 0.1803
2456890.8609 R 19.5986 0.0682
2456895.74997 R 19.6807 0.0715
2456895.78924 R 19.4474 0.0764
2456899.8649 g 20.3082 0.1135
2456899.88803 g 20.2419 0.134
2456900.34125 g 20.4371 0.088
2456900.79447 g 20.4994 0.135
2456900.82156 g 20.4275 0.1117
2456901.74074 g 20.5157 0.1672
2456901.76685 g 20.7245 0.1308
2456902.25545 g 20.6326 0.1074
2456902.74405 g 20.5038 0.194
2456902.79078 g 20.7071 0.1245
2456903.73318 g 20.7755 0.2001
2456903.73318 g 20.8569 0.2017
