No data from PTF
 
2456911.63571 R 18.3899 0.0469
2456911.67139 R 18.4594 0.0602
2456912.158365 R 18.4357 0.0318
2456912.64534 R 18.5046 0.0399
2456912.68865 R 18.4774 0.0579
2456913.64352 R 18.4948 0.0408
2456914.64604 R 18.493 0.0332
2456914.64604 R 18.4904 0.0407
2456914.6914 R 18.6118 0.0469
2456915.64374 R 18.5018 0.0381
2456915.68785 R 18.6217 0.0461
2456916.16489 R 18.5593 0.0283
2456916.64193 R 18.673 0.043
2456916.68602 R 18.5104 0.0438
2456917.64104 R 18.4825 0.0489
2456917.68352 R 18.5555 0.0512
2456920.69388 R 18.5748 0.0476
2456920.73303 R 18.6009 0.0602
2456920.73303 R 18.5504 0.0374
2456921.68137 R 18.5775 0.0456
2456922.63292 R 18.5425 0.0401
2456922.67507 R 18.6711 0.0539
2456923.1533 R 18.6457 0.0313
2456923.63153 R 18.7096 0.0477
2456923.67376 R 18.6301 0.056
2456924.63052 R 18.6895 0.0448
2456924.67273 R 18.5624 0.0446
2456925.18154 R 18.6213 0.0324
2456925.69035 R 18.7076 0.0564
2456925.72571 R 18.7008 0.0719
2456926.62348 R 18.682 0.0462
2456926.66797 R 18.7913 0.0509
2456927.14851 R 18.7596 0.0325
2456927.62905 R 18.8031 0.0489
2456927.67797 R 18.6878 0.0585
2456928.6277 R 18.6863 0.0635
2456928.67266 R 18.6516 0.0492
2456928.67266 R 18.5767 0.0619
2456930.62289 R 18.8915 0.0649
2456930.67929 R 18.4993 0.0981
2456931.61779 R 18.7736 0.0617
2456931.61779 R 18.8584 0.0512
2456931.70624 R 18.9765 0.0993
2456932.61588 R 18.7395 0.0623
2456932.65573 R 18.8939 0.0741
2456933.138475 R 18.8323 0.043
2456933.62122 R 18.8733 0.0694
2456933.65788 R 18.848 0.0923
2456934.624 R 18.7938 0.0904
2456934.66417 R 18.641 0.1184
2456935.62403 R 18.7328 0.0527
2456935.62403 R 18.875 0.0774
2456935.65839 R 18.7566 0.0876
2456936.61926 R 18.9241 0.0826
2456936.65346 R 18.7932 0.1004
2456941.66961 R 18.7483 0.1296
2456942.66564 R 18.6182 0.0989
2456943.134835 R 18.8131 0.0518
2456943.60403 R 18.9602 0.061
2456943.63922 R 18.9926 0.0818
2457055.0289 R 20.0132 0.1792
2457091.02111 R 20.1449 0.1709
2457091.02111 R 20.372 0.1368
2457102.92902 R 20.2258 0.1438
2457103.02552 R 19.8296 0.1409
2457103.032935 R 19.891 0.1132
2457104.94722 R 19.6903 0.1545
2457105.94567 R 20.3922 0.1479
2457106.03343 R 20.0912 0.1355
2457107.0324 R 20.3598 0.1712
2457107.92241 R 19.9402 0.1803
2457108.01101 R 20.134 0.1329
2457108.03025 R 19.8266 0.17
2457108.03025 R 19.9011 0.0784
2457109.02133 R 19.7509 0.1606
