No data from PTF
 
2456915.82557 g 18.9301 0.0603
2456915.87369 g 18.8363 0.0751
2456916.3773 g 18.9532 0.0388
2456916.88091 g 18.8886 0.0548
2456917.01015 g 19.0373 0.0841
2456917.86304 g 18.8372 0.0442
2456917.91723 g 18.8157 0.046
2456920.8665 g 18.6835 0.0376
2456920.91381 g 18.7264 0.0367
2456921.365775 g 18.7319 0.0266
2456921.81774 g 18.7188 0.0356
2456921.86493 g 18.8978 0.041
2456922.80009 g 18.7221 0.0355
2456922.85425 g 18.7821 0.0405
2456923.326575 g 18.7488 0.0289
2456923.7989 g 18.7388 0.0386
2456923.85689 g 18.7751 0.0403
2456924.79773 g 18.7916 0.0379
2456924.85199 g 18.8219 0.038
2456925.354055 g 18.8301 0.0294
2456925.85612 g 18.822 0.042
2456925.91022 g 18.8427 0.0403
2456926.80211 g 18.9653 0.044
2456927.81419 g 19.1363 0.0406
2456927.81419 g 19.1814 0.0478
2456927.91939 g 19.142 0.0604
2456930.8845 g 19.4118 0.0745
2456930.93116 g 19.1849 0.0825
2456931.38477 g 19.5342 0.0501
2456931.83838 g 19.6171 0.0729
2456931.88432 g 19.7277 0.0733
2456932.78132 g 20.0765 0.1072
2456932.82708 g 19.5231 0.0839
2456933.30404 g 19.8605 0.0646
2456933.781 g 19.8903 0.112
2456933.83641 g 19.8165 0.1103
2456934.78509 g 19.5904 0.0982
2456935.31885 g 20.2033 0.1401
2456935.85117 g 19.9781 0.2013
2456953.30121 g 21.5103 0.1694
2456954.80042 g 21.3148 0.1774
2456955.307455 g 20.8875 0.1994
