No data from PTF
 
2456915.330925 g 20.7304 0.1336
2456915.80559 g 20.2768 0.2071
2456915.85373 g 20.3818 0.16
2456916.86102 g 19.5141 0.1032
2456916.99017 g 19.4711 0.0855
2456917.414725 g 19.1567 0.0425
2456917.83928 g 19.0152 0.0473
2456917.89763 g 18.9387 0.0556
2456920.84696 g 17.6835 0.0163
2456920.89417 g 17.7287 0.0183
2456921.346195 g 17.5834 0.0127
2456921.79822 g 17.5031 0.0127
2456921.84531 g 17.4815 0.0125
2456922.77823 g 17.2994 0.0112
2456922.83229 g 17.2571 0.0108
2456923.30466 g 17.1959 0.0101
2456923.77703 g 17.1244 0.0099
2456923.83116 g 17.1074 0.0094
2456924.77582 g 16.9741 0.0081
2456924.83 g 16.9813 0.0082
2456925.332155 g 16.9347 0.0086
2456925.83431 g 16.8847 0.0078
2456925.88829 g 16.8891 0.0077
2456926.78022 g 16.8198 0.007
2456927.79181 g 16.7855 0.0079
2456930.86473 g 16.6808 0.0075
2456930.91126 g 16.6844 0.0077
2456931.36507 g 16.6787 0.0076
2456931.81888 g 16.6717 0.0067
2456931.86478 g 16.6824 0.0065
2456932.76187 g 16.673 0.0095
2456932.80762 g 16.7104 0.0078
2456933.28428 g 16.7009 0.0081
2456933.76094 g 16.7057 0.009
2456933.81399 g 16.7047 0.0084
2456934.76547 g 16.7483 0.0136
2456934.81747 g 16.9662 0.0794
2456935.299225 g 16.7994 0.0121
2456935.78098 g 16.746 0.0153
2456935.83159 g 16.7919 0.0153
2456936.74851 g 16.7858 0.0237
2456936.78759 g 16.7947 0.0236
2456941.84426 g 17.0498 0.021
2456941.88119 g 17.07 0.0224
2456942.360195 g 17.1135 0.0134
2456942.8392 g 17.1335 0.0181
2456942.88453 g 17.1665 0.0194
2456943.81058 g 17.1428 0.0145
2456943.85597 g 17.201 0.0176
2456944.296685 g 17.2232 0.011
2456944.7374 g 17.2758 0.0103
2456944.76499 g 17.2865 0.012
2456946.73925 g 17.4176 0.012
2456948.78561 g 17.5997 0.0185
2456949.73631 g 17.681 0.0146
2456949.73631 g 17.6498 0.0158
2456949.76434 g 17.6535 0.0146
2456950.73559 g 17.7472 0.0148
2456950.76352 g 17.7207 0.0151
2456951.252485 g 17.7587 0.0137
2456951.74145 g 17.7849 0.0153
2456951.76949 g 17.8025 0.0157
2456952.73958 g 17.9052 0.0177
2456952.76703 g 17.8759 0.0169
2456953.249495 g 17.914 0.0152
2456953.73196 g 17.975 0.0189
2456953.75955 g 17.9398 0.0177
2456954.75108 g 18.0213 0.0189
2456954.77859 g 18.0425 0.0193
2456955.256845 g 18.073 0.0173
2456955.7351 g 18.1401 0.0219
2456955.76269 g 18.1671 0.0227
2456956.73406 g 18.2509 0.0243
2456956.76163 g 18.2182 0.0236
2456957.74591 g 18.3022 0.0195
2456958.73019 g 18.4014 0.0262
2456958.75797 g 18.3609 0.0253
