No data from PTF
 
2456920.86999 g 19.919 0.109
2456920.91728 g 19.91 0.1153
2456921.369235 g 19.8339 0.0601
2456921.82119 g 19.5762 0.0896
2456921.86838 g 19.912 0.0883
2456922.80354 g 19.454 0.0961
2456922.8577 g 19.6951 0.0867
2456923.330025 g 19.6099 0.0548
2456923.80235 g 19.7044 0.0936
2456923.86041 g 19.6145 0.0711
2456924.80118 g 19.5527 0.0714
2456924.85545 g 19.478 0.0653
2456925.357505 g 19.4853 0.0485
2456925.85956 g 19.521 0.0783
2456925.91368 g 19.3437 0.064
2456926.80556 g 19.3148 0.0659
2456927.81771 g 19.308 0.0515
2456927.81771 g 19.4401 0.0649
2456927.9228 g 19.2506 0.0964
2456930.888 g 19.2026 0.0713
2456930.93468 g 19.3969 0.0768
2456931.388275 g 19.3818 0.0501
2456931.84187 g 19.5371 0.0742
2456931.88774 g 19.3948 0.0612
2456932.78475 g 19.6254 0.1
2456932.83052 g 19.528 0.0739
2456933.307525 g 19.5649 0.059
2456933.78453 g 19.5142 0.0978
2456933.84 g 19.6326 0.0915
2456934.78855 g 20.0407 0.1626
2456935.322305 g 19.9095 0.1082
2456935.804 g 19.9029 0.1479
2456935.85463 g 19.8237 0.1347
2456942.86001 g 19.8594 0.2146
2456943.368455 g 19.9803 0.1446
2456944.79319 g 20.2624 0.1832
2456944.82737 g 20.2681 0.1706
2456949.79017 g 20.1784 0.1702
2456949.79017 g 20.4544 0.18
2456949.82076 g 20.3665 0.2118
2456951.30768 g 20.959 0.1464
2456951.83637 g 20.6651 0.1988
2456952.82212 g 20.229 0.1997
2456953.30464 g 20.4541 0.1474
2456953.78716 g 20.769 0.1985
2456953.81691 g 20.732 0.2052
2456955.78807 g 20.403 0.176
2456955.818 g 19.9869 0.1868
2456957.80025 g 21.1038 0.202
