No data from PTF
 
2456914.83039 g 19.3853 0.1654
2456915.34385 g 20.3799 0.1107
2456915.81848 g 19.7641 0.1591
2456915.82792 g 19.4605 0.143
2456915.86666 g 20.4621 0.1739
2456915.87604 g 19.6755 0.1634
2456916.87389 g 20.4041 0.13
2456916.88324 g 19.8228 0.163
2456917.01251 g 19.0382 0.1268
2456917.438925 g 19.0249 0.0744
2456917.85615 g 20.5108 0.1111
2456917.85615 g 20.0888 0.1369
2456917.86534 g 19.7237 0.132
2456917.91032 g 20.495 0.1189
2456917.91954 g 19.3854 0.1255
2456920.85961 g 19.8911 0.1063
2456920.86884 g 19.7471 0.0958
2456920.90689 g 20.1025 0.1026
2456920.91612 g 20.2607 0.108
2456921.368085 g 20.0988 0.0611
2456921.81086 g 20.1176 0.0842
2456921.81086 g 19.8897 0.0883
2456921.82005 g 20.1574 0.091
2456921.85804 g 20.0608 0.1056
2456921.86722 g 20.1649 0.0919
2456922.79087 g 19.9009 0.1235
2456922.80238 g 20.334 0.1178
2456922.84501 g 20.109 0.0969
2456922.85655 g 20.0548 0.0963
2456923.328875 g 20.2879 0.0771
2456923.78969 g 20.0831 0.141
2456923.8012 g 20.2785 0.1099
2456923.84392 g 20.0016 0.0885
2456923.85926 g 20.2473 0.1206
2456924.31621 g 20.1163 0.0756
2456924.7885 g 20.0936 0.0974
2456924.80002 g 20.2071 0.1054
2456924.84271 g 20.2049 0.1072
2456924.85429 g 20.4134 0.1185
2456925.35635 g 20.335 0.0782
2456925.84693 g 20.3384 0.1504
2456925.85841 g 20.4474 0.1239
2456925.90101 g 20.1732 0.1157
2456925.90101 g 20.214 0.1108
2456925.91252 g 20.2074 0.1033
2456926.79289 g 20.1831 0.1276
2456926.8044 g 20.3228 0.1217
2456927.80477 g 19.8838 0.124
2456927.81654 g 20.749 0.1454
2456927.81654 g 20.5121 0.0992
2456927.91022 g 20.2755 0.1635
2456927.92167 g 20.6257 0.1447
2456930.87637 g 20.3866 0.1558
2456930.88684 g 19.6314 0.1361
2456930.92293 g 20.121 0.1482
2456930.9335 g 20.2838 0.1579
2456931.37664 g 20.3819 0.1122
2456931.387095 g 20.5411 0.0986
2456931.83035 g 20.7791 0.1634
2456931.84069 g 20.5977 0.2038
2456931.87626 g 20.5572 0.1938
2456931.88661 g 20.6178 0.126
2456932.81907 g 20.2741 0.1621
2456932.82938 g 20.8937 0.1768
2456933.30636 g 20.9283 0.1327
2456933.77271 g 20.3716 0.1817
2456933.82817 g 20.5643 0.2037
