No data from PTF
 
2456935.77407 g 19.3307 0.1689
2456935.82468 g 19.3558 0.1988
2456935.94846 R 19.2789 0.1624
2456935.97009 R 19.634 0.1844
2456940.8344 R 19.3365 0.1959
2456941.83733 g 19.2402 0.1317
2456941.87427 g 19.1665 0.1241
2456942.35327 g 19.2327 0.0704
2456942.83227 g 19.238 0.0978
2456942.87751 g 19.4317 0.1268
2456943.80361 g 19.1831 0.1036
2456943.84891 g 19.3844 0.1093
2456944.28853 g 20.2767 0.0892
2456944.289685 g 19.2759 0.0514
2456944.73046 g 19.1905 0.0642
2456944.75808 g 19.3058 0.0752
2456946.7319 g 19.3575 0.0732
2456948.77875 g 19.1458 0.1033
2456949.72929 g 19.3033 0.0635
2456949.72929 g 19.3764 0.0714
2456949.75731 g 19.3625 0.0765
2456950.72859 g 19.1559 0.0556
2456950.75653 g 19.3981 0.0827
2456951.24548 g 19.3768 0.0417
2456951.73443 g 19.4924 0.0608
2456951.76247 g 19.4088 0.0614
2456952.24645 g 20.5953 0.1127
2456952.73273 g 19.1904 0.0837
2456952.76015 g 19.2334 0.0669
2456953.24261 g 19.313 0.0492
2456953.72507 g 19.3038 0.0791
2456953.75264 g 19.5268 0.0921
2456954.247275 g 19.8647 0.0711
2456954.7442 g 19.4663 0.0839
2456954.77171 g 19.4182 0.0794
2456955.249965 g 19.3798 0.0479
2456955.72822 g 19.1673 0.0744
2456955.75576 g 19.4834 0.0672
2456956.240315 g 20.2455 0.081
2456956.72718 g 19.293 0.0767
2456956.75475 g 19.2524 0.0883
2456957.738995 g 19.483 0.0515
2456958.72324 g 19.5692 0.0921
2456958.75102 g 19.6095 0.0775
