No data from PTF
 
2456942.27537 g 20.1633 0.1001
2456942.75721 g 19.9233 0.1519
2456942.78844 g 19.9233 0.1215
2456943.72738 g 19.6414 0.0856
2456943.75944 g 19.7308 0.091
2456944.62645 g 19.5077 0.04
2456944.62645 g 19.4085 0.0481
2456944.65769 g 19.4539 0.0496
2456945.67755 g 19.213 0.0459
2456946.62619 g 19.0889 0.0386
2456946.65764 g 19.077 0.0329
2456946.65764 g 19.0608 0.0352
2456947.6767 g 18.9737 0.0323
2456949.62337 g 18.7797 0.031
2456949.65468 g 18.7636 0.0322
2456950.138955 g 18.7204 0.0238
2456950.62323 g 18.6512 0.0279
2456950.65446 g 18.6542 0.0268
2456951.6285 g 18.6429 0.0269
2456951.65983 g 18.6217 0.026
2456952.141685 g 18.5873 0.0222
2456952.62354 g 18.5102 0.0251
2456952.65503 g 18.576 0.0258
2456953.62041 g 18.5447 0.026
2456953.65141 g 18.4995 0.025
2456954.14512 g 18.5136 0.0208
2456954.63883 g 18.5084 0.0232
2456954.66981 g 18.4958 0.0226
2456955.62316 g 18.5082 0.0251
2456955.65418 g 18.4863 0.025
2456956.13797 g 18.4893 0.0211
2456956.62176 g 18.4989 0.0256
2456956.65304 g 18.4643 0.0253
2456958.6174 g 18.5041 0.026
2456958.64863 g 18.5351 0.0258
