No data from PTF
 
2457011.81543 R 18.6674 0.0775
2457011.81659 R 18.5875 0.0453
2457011.88644 R 18.5793 0.0391
2457011.88644 R 18.5583 0.0494
2457013.85459 R 18.5854 0.1171
2457013.85575 R 18.891 0.1088
2457013.890375 R 18.6251 0.0324
2457013.92384 R 18.6987 0.0511
2457013.925 R 18.7032 0.0507
2457013.95856 R 18.6903 0.0341
2457013.99328 R 18.6952 0.0521
2457013.99443 R 18.6503 0.0453
2457014.04166 R 18.7212 0.0512
2457014.04282 R 18.6055 0.0586
2457014.77623 R 18.7334 0.0493
2457014.77738 R 18.6522 0.0543
2457014.84645 R 18.7709 0.046
2457014.91963 R 18.7533 0.0625
2457014.92079 R 18.7183 0.0342
2457014.92079 R 18.7738 0.0615
2457014.95436 R 18.8078 0.0373
2457014.98909 R 18.8132 0.0775
2457014.99025 R 18.7142 0.0623
2457015.0376 R 18.7633 0.0626
2457015.03877 R 18.6287 0.0654
2457015.7722 R 18.966 0.0828
2457015.77334 R 18.8513 0.0987
2457015.84012 R 18.8231 0.0695
2457015.84127 R 18.7062 0.0513
2457015.90872 R 18.8364 0.0414
2457015.90872 R 18.7764 0.0466
2457015.9099 R 18.6482 0.0463
2457015.9099 R 18.7231 0.0392
2457015.9564 R 18.8644 0.0577
2457015.95757 R 18.8013 0.0529
2457018.77571 R 19.0562 0.1267
2457018.77687 R 19.1169 0.1446
2457018.84498 R 19.1259 0.0941
2457018.84617 R 18.8729 0.0804
2457018.91802 R 19.0905 0.0696
2457018.92339 R 19.352 0.1067
2457018.92454 R 18.9734 0.0825
2457018.92454 R 18.9819 0.0567
2457018.99106 R 19.2265 0.1155
2457018.99225 R 19.2541 0.1174
2457019.03784 R 18.9132 0.1166
2457019.039 R 19.02 0.1465
2457019.74688 R 19.0975 0.0862
2457019.74806 R 19.1443 0.1523
2457019.81697 R 19.0297 0.0656
2457019.81813 R 19.0254 0.0683
2457019.88525 R 19.0566 0.0396
2457019.88525 R 19.1236 0.0606
2457019.88641 R 18.9278 0.054
2457019.88641 R 19.0783 0.0439
2457019.95309 R 18.9968 0.0676
2457019.95428 R 19.1135 0.0646
2457020.02024 R 19.1596 0.0686
2457020.02142 R 19.0109 0.065
2457020.86572 R 19.1249 0.0627
2457020.8669 R 18.9296 0.0751
2457020.93416 R 18.9381 0.0671
2457020.93532 R 19.1209 0.0625
2457021.79461 R 19.1647 0.111
2457021.79589 R 19.0454 0.1174
2457021.79589 R 19.0934 0.0704
2457021.86409 R 19.0288 0.1331
2457021.86409 R 19.0665 0.0822
2457021.93304 R 19.1704 0.1149
2457021.93421 R 19.057 0.0873
2457022.00062 R 18.7872 0.1053
2457022.00181 R 18.9218 0.0993
2457032.94507 R 19.5223 0.1005
2457037.75447 R 19.6936 0.1486
2457037.75564 R 19.4892 0.1356
2457037.82521 R 19.6915 0.1188
2457037.82638 R 19.7885 0.128
2457037.89612 R 19.7608 0.1213
2457037.89729 R 19.6768 0.1618
2457039.76547 R 19.9654 0.1144
2457039.76663 R 19.7969 0.1332
2457039.800755 R 19.7999 0.062
2457039.801915 R 19.7939 0.0713
2457039.83604 R 19.8114 0.1334
2457039.8372 R 19.9019 0.1104
2457039.90645 R 19.8564 0.1205
2457039.90762 R 19.7445 0.1037
2457039.97703 R 19.9391 0.1186
2457039.97821 R 19.9322 0.1418
2457040.03273 R 20.053 0.186
2457040.03389 R 19.6708 0.1675
2457045.87106 R 20.1263 0.123
2457045.87221 R 20.0775 0.1146
2457045.93752 R 20.3228 0.1494
2457045.93752 R 20.0913 0.1964
2457046.36678 R 20.1957 0.1667
2457047.73925 R 20.3048 0.1517
2457047.74041 R 19.9517 0.1836
2457047.80385 R 20.3235 0.1901
2457047.80501 R 19.9786 0.164
2457047.83669 R 20.1075 0.1085
2457047.86953 R 20.0215 0.2168
2457047.87069 R 20.0796 0.117
2457047.93546 R 20.2417 0.1949
2457047.93664 R 20.0916 0.1991
