No data from PTF
 
2456708.67818 R 18.9315 0.089
2456708.69444 R 18.8706 0.0637
2456708.70953 R 19.0402 0.0686
2456708.72579 R 19.006 0.0585
2456708.7409 R 18.8473 0.0556
2456708.75604 R 18.9401 0.0608
2456708.77119 R 18.9217 0.0649
2456708.78638 R 18.9918 0.0819
2456708.81721 R 19.1193 0.0738
2456708.83256 R 18.617 0.0879
2456708.83256 R 18.8555 0.0288
2456708.84797 R 18.9303 0.0779
2456708.86413 R 18.8796 0.1014
2456708.87917 R 18.878 0.1006
2456708.89546 R 18.8796 0.1072
2456708.92127 R 19.1307 0.1107
2456708.93927 R 18.9229 0.1131
2456708.95377 R 18.6923 0.116
2456708.96887 R 18.9598 0.1249
2456708.98372 R 19.096 0.141
2456708.99795 R 18.937 0.1416
2456709.01166 R 18.8791 0.1706
2456709.67637 R 18.8751 0.0749
2456709.69273 R 18.7162 0.1991
2456709.75402 R 18.7383 0.186
2456709.76928 R 19.0926 0.0918
2456709.78472 R 19.0302 0.0546
2456709.80029 R 18.8461 0.0717
2456709.81604 R 18.8592 0.0749
2456709.83273 R 18.7991 0.0947
2456709.84843 R 18.862 0.1035
2456709.86331 R 18.696 0.1443
2456709.87888 R 18.7331 0.1581
2456709.89385 R 19.1404 0.1447
2456709.90882 R 18.9367 0.1118
2456709.92444 R 18.8275 0.1026
2456709.93938 R 19.0594 0.1353
2456710.67331 R 18.9433 0.059
2456710.68898 R 18.8276 0.0494
2456710.70471 R 18.9974 0.0523
2456710.72041 R 18.8692 0.0472
2456710.73616 R 18.8878 0.049
2456710.75128 R 18.9287 0.0474
2456710.76824 R 18.7825 0.0477
2456710.78376 R 18.9009 0.0473
2456710.79911 R 18.952 0.047
2456710.81447 R 18.867 0.0455
2456710.8299 R 18.9112 0.0427
2456710.8458 R 18.9472 0.0482
2456710.86137 R 18.8828 0.0228
2456710.86137 R 18.889 0.0684
2456710.87701 R 18.8297 0.0485
2456710.89156 R 19.0079 0.071
2456710.90752 R 18.8319 0.0556
2456710.92321 R 18.6364 0.087
2456710.93826 R 18.8865 0.0515
2456710.95218 R 19.0867 0.0648
2456710.96791 R 18.822 0.0581
2456710.97951 R 18.097 0.1293
2456710.98883 R 18.7943 0.0605
2456710.99696 R 18.9223 0.0661
2456711.00453 R 18.8077 0.066
2456711.01253 R 18.9807 0.073
2456711.67178 R 18.9087 0.0588
2456711.69059 R 18.8933 0.0529
2456711.70574 R 18.9088 0.0504
2456711.72183 R 18.7989 0.0458
2456711.74358 R 18.7858 0.0429
2456711.75956 R 18.8017 0.0446
2456711.77501 R 18.9108 0.0432
2456711.79065 R 18.7579 0.0425
2456711.80553 R 18.7546 0.0733
2456711.82116 R 18.9604 0.0539
2456711.8376 R 18.8314 0.052
2456711.85134 R 18.7103 0.0439
2456711.85921 R 18.8653 0.022
2456711.86708 R 18.8085 0.04
2456711.88247 R 18.7485 0.0429
2456711.90155 R 18.9575 0.0517
2456711.91685 R 18.9793 0.0544
2456711.93064 R 18.8541 0.0508
2456711.94946 R 18.8343 0.0464
2456711.96312 R 18.8753 0.0495
2456711.9745 R 18.9555 0.0626
2456711.98478 R 18.8242 0.0516
2456711.99427 R 18.831 0.0541
2456712.00296 R 18.8263 0.0587
2456712.01221 R 18.8067 0.0538
