No data from PTF
 
2457114.91759 g 19.2106 0.1934
2457114.94332 g 19.5146 0.1901
2457114.96897 g 19.3421 0.169
2457114.96897 g 19.4644 0.0757
2457114.99478 g 19.5021 0.1962
2457115.02032 g 19.6096 0.1402
2457122.97411 g 19.556 0.1126
2457122.99664 g 19.5085 0.1025
2457123.98481 g 19.6592 0.1193
2457124.00692 g 19.4188 0.132
2457124.491415 g 19.585 0.0683
2457124.97591 g 19.5188 0.0901
2457124.99822 g 19.7206 0.1184
2457126.95943 g 19.5173 0.0655
2457126.98197 g 19.4128 0.0649
2457127.96803 g 19.3202 0.0657
2457128.95146 g 19.5956 0.0848
2457128.97382 g 19.5342 0.1138
2457129.95868 g 19.4492 0.0652
2457129.98116 g 19.3845 0.0672
2457130.468825 g 19.4227 0.0416
2457130.95649 g 19.4479 0.0646
2457130.98005 g 19.3187 0.071
2457131.96948 g 19.3892 0.0705
2457131.99296 g 19.4585 0.0669
2457141.92971 g 19.4317 0.0753
2457141.95934 g 19.3081 0.0582
2457142.436965 g 19.3538 0.0482
2457142.91459 g 19.417 0.1052
2457142.94564 g 19.3241 0.0883
2457167.80525 g 19.3641 0.0903
2457168.77581 g 19.5471 0.0966
2457168.80492 g 19.4756 0.0966
2457169.2944 g 19.4341 0.0799
2457169.78388 g 19.2186 0.1597
2457170.78171 g 19.5126 0.1101
2457170.81712 g 19.6931 0.1241
2457171.314305 g 19.594 0.0707
2457171.81149 g 19.529 0.1074
2457171.84324 g 19.6807 0.1107
2457172.79574 g 19.4351 0.1473
2457173.278175 g 19.7249 0.0978
2457173.76061 g 19.5155 0.1309
2457173.78392 g 19.9901 0.1642
2457179.85625 g 19.5092 0.1865
2457179.89116 g 19.4373 0.1356
2457180.36443 g 19.5027 0.0697
2457180.8377 g 19.5842 0.1093
2457180.87253 g 19.4769 0.1056
2457181.84997 g 19.4718 0.1234
2457181.88484 g 19.912 0.1275
2457185.84738 g 19.7752 0.0829
2457186.86887 g 19.9111 0.1043
2457186.89852 g 19.7248 0.0804
2457187.36611 g 19.8392 0.0556
2457187.8337 g 19.7982 0.0809
2457187.85881 g 19.898 0.0888
2457188.83292 g 19.7664 0.0738
2457188.86016 g 19.8608 0.0798
2457189.87986 g 19.7029 0.073
