No data from PTF
 
2457119.76087 g 19.3133 0.1944
2457122.73451 g 19.0833 0.0682
2457122.738 g 19.1525 0.0687
2457122.76472 g 18.96 0.0768
2457122.76821 g 19.5006 0.0756
2457124.75514 g 18.8301 0.0555
2457124.75977 g 19.1812 0.0628
2457124.78404 g 18.9907 0.0666
2457124.78868 g 19.113 0.0701
2457125.298215 g 19.0432 0.0409
2457125.80303 g 18.7622 0.0647
2457125.83218 g 18.8446 0.0556
2457125.83683 g 18.9709 0.0634
2457126.73735 g 18.8314 0.0502
2457126.74199 g 18.844 0.0534
2457126.76639 g 18.8231 0.0473
2457126.77102 g 18.7404 0.0529
2457127.24971 g 18.7872 0.0304
2457127.7284 g 18.7448 0.0542
2457127.75616 g 18.84 0.0501
2457127.7608 g 18.6737 0.0545
2457128.70811 g 18.7489 0.0524
2457128.71274 g 18.7048 0.0587
2457128.7405 g 18.8179 0.0562
2457128.74513 g 18.7056 0.0643
2457129.71189 g 18.6552 0.0495
2457129.71653 g 18.6355 0.0386
2457129.71653 g 18.6544 0.0544
2457129.74435 g 18.603 0.0433
2457129.74899 g 18.5455 0.0556
2457130.70215 g 18.5856 0.0494
2457130.70679 g 18.5816 0.0602
2457130.73703 g 18.6419 0.0491
2457130.74167 g 18.6857 0.0531
2457131.230175 g 18.6459 0.0317
2457131.71406 g 18.6504 0.0426
2457131.71868 g 18.6933 0.0548
2457131.74885 g 18.6736 0.0455
2457131.75348 g 18.4945 0.0515
2457148.67324 g 19.3462 0.1697
2457148.6826 g 19.3366 0.15
2457153.67588 g 20.4153 0.187
2457153.70593 g 20.1338 0.1726
2457154.67491 g 19.9121 0.1185
2457154.70493 g 19.7488 0.1381
