No data from PTF
 
2456413.80696 R 19.5967 0.1471
2457122.75659 g 19.7034 0.1272
2457122.78684 g 19.5616 0.1221
2457124.77596 g 19.0301 0.0607
2457124.80491 g 18.4154 0.0616
2457125.82404 g 18.4999 0.0413
2457125.8531 g 18.3556 0.0482
2457126.75826 g 18.4555 0.0351
2457126.78728 g 18.3535 0.0321
2457127.74458 g 18.204 0.0323
2457127.777 g 18.2413 0.0321
2457128.72892 g 18.0842 0.0337
2457128.76134 g 18.0613 0.0325
2457129.73275 g 17.9278 0.0271
2457129.76523 g 17.9601 0.0268
2457130.72301 g 17.8195 0.0244
2457130.75789 g 17.8384 0.0244
2457131.73488 g 17.7318 0.0217
2457131.76972 g 17.7302 0.0222
2457140.72883 g 17.63 0.0304
2457140.75351 g 17.5971 0.0299
2457142.74395 g 17.7744 0.0725
2457148.69544 g 18.0036 0.0581
2457153.69089 g 18.2648 0.0393
2457153.72096 g 18.3324 0.0356
2457154.68992 g 18.3503 0.0411
2457154.71994 g 18.3622 0.0404
2457155.74986 g 18.4644 0.0432
2457155.77536 g 18.3608 0.044
2457156.78171 g 18.6232 0.0476
2457156.80726 g 18.4862 0.056
2457160.79512 g 18.6917 0.0635
2457160.8206 g 18.5168 0.0703
2457163.76309 g 18.867 0.0847
2457163.78865 g 19.1267 0.1128
