No data from PTF
 
2457130.46651 R 20.9926 0.1523
2457131.94126 R 20.362 0.1532
2457141.91369 R 17.9706 0.0323
2457141.99064 R 18.0783 0.0357
2457142.444485 R 17.9767 0.021
2457142.89833 R 17.9032 0.0479
2457142.98061 R 18.0014 0.029
2457152.9803 R 18.1502 0.0434
2457154.96866 R 18.3554 0.0457
2457154.98778 R 18.3063 0.0978
2457155.99258 R 18.3607 0.0789
2457160.98872 R 18.5305 0.169
2457163.88953 R 18.2778 0.108
2457167.86981 R 18.7636 0.0442
2457167.96597 R 18.778 0.0559
2457168.86657 R 18.7972 0.0285
2457168.86657 R 18.8157 0.0438
2457168.92961 R 18.7799 0.0453
2457168.97051 R 18.843 0.0521
2457169.91873 R 18.8224 0.134
2457169.96044 R 18.78 0.0985
2457170.91278 R 18.87 0.044
2457170.91278 R 18.8506 0.0456
2457170.95657 R 18.8874 0.0544
2457179.81986 R 19.485 0.1135
2457179.83199 R 19.5424 0.118
2457180.319335 R 19.5526 0.0689
2457180.80668 R 19.4082 0.0977
2457180.81502 R 19.6793 0.1284
2457181.7024 R 19.4967 0.0787
2457181.91266 R 19.3381 0.1225
2457181.9245 R 19.5066 0.1339
2457185.82719 R 19.6654 0.0814
2457186.68271 R 19.9766 0.1158
2457186.74807 R 19.8072 0.059
2457186.81343 R 19.6813 0.0877
2457186.83428 R 19.6771 0.0998
2457187.68273 R 19.622 0.0933
2457187.81257 R 19.8631 0.0944
2457188.24769 R 19.8063 0.0627
2457188.68281 R 19.9121 0.1049
2457188.81192 R 19.7225 0.0928
2457189.83034 R 19.8397 0.0979
2457190.6866 R 20.003 0.1059
2457190.80422 R 19.8427 0.0988
2457191.244545 R 19.939 0.0667
2457191.68487 R 19.9623 0.1004
2457191.78451 R 20.0568 0.1099
2457192.799 R 20.2517 0.1331
2457192.82875 R 20.0781 0.1334
2457192.85862 R 20.0933 0.1446
2457192.85862 R 20.0141 0.0736
2457193.68892 R 20.018 0.1161
2457193.75966 R 20.1706 0.1205
2457194.68557 R 20.1985 0.1277
2457194.76029 R 20.0297 0.1637
