No data from PTF
 
2457240.1768 R 20.7432 0.1152
2457240.67065 R 20.8087 0.1848
2457240.7047 R 20.6349 0.1696
2457242.682905 R 20.9084 0.1877
2457243.67837 R 20.5853 0.146
2457243.697375 R 20.758 0.1325
2457243.71638 R 20.823 0.165
2457244.67895 R 20.7185 0.1911
2457244.69223 R 20.5946 0.2062
2457245.66287 R 20.2674 0.2004
2457245.67735 R 20.6381 0.134
2457245.69183 R 20.5084 0.1624
2457247.686305 R 20.49 0.1932
2457247.70381 R 20.5459 0.2073
2457248.6794 R 20.6656 0.136
2457248.69606 R 20.4889 0.2012
2457249.72806 R 20.6314 0.1626
2457250.66127 R 20.6253 0.1455
2457250.66127 R 20.6399 0.1882
2457250.69882 R 20.7092 0.1906
2457251.66753 R 20.5582 0.1417
2457251.68642 R 20.5675 0.1283
2457251.70531 R 20.6918 0.1972
