No data from PTF
 
2457253.73109 g 19.7487 0.0768
2457253.74943 g 19.6251 0.0518
2457253.76777 g 19.4754 0.0707
2457254.72977 g 19.7606 0.0947
2457254.748145 g 19.8448 0.0694
2457254.76652 g 19.9252 0.101
2457255.65978 g 19.6191 0.1189
2457255.67687 g 19.5948 0.0743
2457255.69396 g 19.6386 0.1107
2457256.6589 g 19.6525 0.1487
2457256.675935 g 19.8927 0.0983
2457256.69297 g 19.9349 0.1386
2457257.65753 g 19.7449 0.145
2457257.672145 g 19.9377 0.1027
2457257.68676 g 20.1214 0.1588
2457258.65597 g 19.2532 0.1668
2457258.670485 g 19.5925 0.1241
2457258.685 g 20.0379 0.1678
2457270.659305 g 20.7 0.1321
