No data from PTF
 
2457253.82697 g 20.616 0.1232
2457253.841425 g 20.6529 0.1002
2457253.85588 g 20.4958 0.1474
2457254.82245 g 20.1249 0.1032
2457254.84314 g 20.1633 0.0792
2457254.86383 g 20.2525 0.1111
2457255.81596 g 19.9337 0.0728
2457256.81442 g 19.6301 0.0421
2457256.81442 g 19.5946 0.0529
2457256.8549 g 19.5069 0.0462
2457257.79756 g 19.29 0.0443
2457257.813545 g 19.2425 0.0297
2457257.82953 g 19.2139 0.0401
2457258.79434 g 19.1512 0.0539
2457258.810175 g 19.0887 0.0322
2457258.82601 g 19.0335 0.0407
2457259.85012 g 18.9254 0.0689
2457270.79411 g 18.2335 0.0269
2457270.811015 g 18.2453 0.0176
2457270.82792 g 18.2371 0.0287
2457271.7938 g 18.3114 0.0225
2457271.810655 g 18.2787 0.0157
2457271.82751 g 18.2527 0.0232
2457272.79169 g 18.3159 0.0239
2457272.81952 g 18.3119 0.0167
2457272.84735 g 18.3124 0.0225
2457273.80206 g 18.3608 0.0237
2457273.81949 g 18.3414 0.0168
2457273.83692 g 18.3303 0.0232
2457274.8258 g 18.4002 0.0241
2457274.84399 g 18.3805 0.0162
2457274.86218 g 18.3671 0.0241
2457275.84837 g 18.42 0.0242
2457278.82928 g 18.6425 0.0295
2457278.8655 g 18.6247 0.0294
2457279.33554 g 18.6521 0.021
2457279.80558 g 18.6935 0.03
2457279.84181 g 18.6778 0.0291
2457282.82933 g 18.9937 0.0379
2457283.79841 g 19.0304 0.0299
2457283.79841 g 19.0142 0.0371
2457283.82764 g 19.0611 0.0374
2457284.80707 g 19.2084 0.0507
2457284.821765 g 19.1254 0.0324
2457284.83646 g 19.1228 0.0432
2457285.78297 g 19.2215 0.0441
2457285.81221 g 19.3252 0.0449
2457286.291815 g 19.3167 0.0317
2457286.77142 g 19.3649 0.0519
2457286.80175 g 19.3231 0.0444
2457288.7741 g 19.6751 0.1082
2457288.788845 g 19.5511 0.0596
2457288.80359 g 19.4865 0.0763
2457289.77694 g 19.6998 0.1375
2457289.82138 g 19.5942 0.0966
2457290.30394 g 19.5757 0.0735
2457290.7865 g 19.5244 0.1189
2457290.81578 g 19.5855 0.1491
2457295.79443 g 20.5154 0.2104
2457296.77963 g 20.2371 0.172
2457296.82815 g 20.1722 0.1466
2457297.79892 g 20.4017 0.1452
2457298.78793 g 20.4374 0.147
2457299.72944 g 20.4346 0.1057
2457299.76898 g 20.3113 0.0996
2457303.77907 g 20.637 0.1259
2457303.81874 g 21.0771 0.1558
2457304.76946 g 21.0292 0.15
2457304.80888 g 21.1855 0.1895
2457305.7417 g 21.0593 0.1494
2457305.78155 g 20.8287 0.1429
2457306.71163 g 21.2646 0.1815
2457306.7502 g 20.9053 0.1443
2457307.72293 g 20.8217 0.1389
2457307.76168 g 21.0562 0.1699
