No data from PTF
 
2457253.8826 g 19.4806 0.0651
2457253.899985 g 19.5148 0.0418
2457253.91737 g 19.5537 0.0615
2457254.89381 g 19.0103 0.0529
2457254.911295 g 19.1017 0.0355
2457254.92878 g 19.2037 0.0485
2457255.89875 g 18.8618 0.0376
2457255.916075 g 18.8596 0.0263
2457255.9334 g 18.8418 0.0401
2457256.89777 g 18.7041 0.0323
2457256.91511 g 18.694 0.0226
2457256.93245 g 18.6831 0.033
2457257.87352 g 18.6085 0.0302
2457257.892595 g 18.5809 0.0203
2457257.91167 g 18.542 0.0283
2457258.86601 g 18.4352 0.0276
2457258.8865 g 18.4395 0.0194
2457258.90699 g 18.4504 0.028
2457270.87013 g 18.0485 0.0274
2457270.896 g 18.1034 0.0341
2457271.86975 g 18.1408 0.0264
2457271.86975 g 18.1261 0.0209
2457271.89547 g 18.1863 0.0271
2457272.88381 g 18.2594 0.0338
2457273.87332 g 18.2276 0.0216
2457273.87332 g 18.2588 0.0262
2457273.89902 g 18.2394 0.0262
2457274.89984 g 18.318 0.0268
2457274.91271 g 18.2999 0.0186
2457274.92558 g 18.33 0.0256
2457276.8855 g 18.4085 0.035
2457276.898265 g 18.416 0.0245
2457276.91103 g 18.4489 0.0356
2457283.85126 g 19.163 0.0643
2457283.89124 g 18.8751 0.0672
2457284.86007 g 18.9867 0.058
2457284.90009 g 19.0799 0.065
2457285.83591 g 19.2698 0.0661
2457285.87625 g 19.422 0.0704
2457286.82661 g 19.2545 0.0684
2457286.86678 g 19.6911 0.0975
2457288.82751 g 19.2664 0.1322
2457288.86811 g 19.601 0.1007
2457289.88411 g 18.8982 0.1286
2457303.84806 g 19.8888 0.1595
2457303.89382 g 19.7053 0.1659
2457304.83795 g 20.2082 0.1824
2457304.88338 g 19.9035 0.1677
2457305.80251 g 20.0178 0.1648
2457306.81127 g 19.8674 0.1547
2457307.79373 g 20.2191 0.1453
2457307.82304 g 20.2979 0.1633
2457316.82866 g 19.9856 0.1783
2457318.76603 R 19.2567 0.1689
2457332.75186 g 20.4324 0.2006
2457341.77495 g 20.7949 0.2106
