No data from PTF
 
2457253.820615 g 21.2373 0.1798
2457253.83505 g 21.0321 0.2152
2457254.80108 g 20.5491 0.1756
2457254.81593 g 20.9224 0.1537
2457254.83078 g 20.9547 0.1584
2457255.79444 g 20.9153 0.1321
2457255.814765 g 20.6157 0.1084
2457255.83509 g 20.3749 0.1539
2457256.79314 g 20.3044 0.0985
2457256.81333 g 20.3833 0.0686
2457256.83352 g 20.5732 0.1045
2457257.73025 g 20.234 0.1289
2457257.749715 g 20.0319 0.0735
2457257.76918 g 19.9805 0.0994
2457258.72799 g 20.0926 0.1273
2457258.74716 g 19.9773 0.0831
2457258.76633 g 19.922 0.1009
2457267.80396 g 18.7694 0.0727
2457268.84454 g 18.7327 0.0686
2457269.80567 g 18.7312 0.0544
2457269.84343 g 18.6593 0.0565
2457270.72891 g 18.7456 0.0346
2457270.7475 g 18.7615 0.0257
2457270.76609 g 18.7372 0.0425
2457271.72881 g 18.878 0.0392
2457271.74737 g 18.8576 0.0255
2457271.76593 g 18.8067 0.0366
2457272.76034 g 18.8067 0.0355
2457273.77069 g 18.8966 0.043
2457274.75867 g 18.9236 0.0393
2457275.74398 g 19.056 0.0439
2457275.761955 g 19.0643 0.0307
2457275.77993 g 19.1137 0.0439
2457278.79762 g 19.1982 0.0521
2457279.73828 g 19.2746 0.0408
2457279.73828 g 19.3213 0.0554
2457279.7742 g 19.2722 0.0515
2457284.74639 g 19.7731 0.0749
2457284.76269 g 19.7252 0.0526
2457284.77899 g 19.61 0.083
2457285.7224 g 19.9388 0.0839
2457285.75495 g 19.9704 0.0935
2457286.226775 g 19.8771 0.0555
2457286.6986 g 19.9154 0.1233
2457286.72878 g 19.9956 0.1016
2457288.71543 g 19.9969 0.123
2457288.73064 g 19.9536 0.2163
2457289.70417 g 19.7684 0.1807
2457290.231605 g 20.0842 0.1158
