No data from PTF
 
2457253.8687 g 19.9719 0.0835
2457253.90345 g 19.8563 0.1006
2457254.87953 g 19.8772 0.0851
2457254.87953 g 19.7924 0.0658
2457254.91491 g 19.9293 0.1111
2457255.8849 g 19.7656 0.0876
2457255.902215 g 19.9092 0.0536
2457255.91953 g 19.9449 0.075
2457256.91858 g 19.8663 0.0702
2457257.85965 g 19.9331 0.0756
2457257.89778 g 19.803 0.0703
2457258.85198 g 19.8687 0.078
2457258.87245 g 19.8563 0.0517
2457258.89292 g 19.8112 0.0705
2457270.8561 g 20.0821 0.1456
2457270.868995 g 20.319 0.1125
2457270.88189 g 20.2732 0.1362
2457271.85574 g 20.3435 0.1216
2457271.86859 g 20.3017 0.0901
2457271.88144 g 19.9557 0.1303
2457272.86985 g 20.5594 0.1366
2457273.85934 g 20.2777 0.1486
2457273.85934 g 20.4604 0.1022
2457273.88499 g 20.6334 0.1451
2457274.88582 g 20.3416 0.141
2457274.91155 g 20.5198 0.1308
2457275.39179 g 20.242 0.16
2457276.8716 g 20.8198 0.1784
2457276.88436 g 20.5803 0.1498
2457276.89712 g 20.2508 0.1949
