No data from PTF
 
2457279.73828 g 21.1641 0.2035
2457279.7742 g 21.0685 0.2088
2457284.74639 g 20.5725 0.146
2457284.76269 g 20.4101 0.1306
2457284.77899 g 20.5358 0.1672
2457285.7224 g 19.9962 0.1553
2457285.75495 g 20.4017 0.1544
2457286.226775 g 20.3327 0.1083
2457286.72878 g 20.4983 0.1753
2457288.70022 g 20.3308 0.1773
2457288.71543 g 20.5263 0.1522
2457290.231605 g 19.9511 0.1673
2457297.70054 g 20.1136 0.1233
2457297.74205 g 20.1026 0.215
2457299.69696 g 20.4502 0.1563
2457299.73641 g 20.4389 0.1152
2457303.74648 g 20.7568 0.1829
2457305.7513 g 20.7694 0.1658
2457306.68377 g 20.9678 0.1695
2457307.69499 g 20.4973 0.2039
